History Ticker,Forecast Ticker,Item
PLAG.CN2US.SUM.NET.A,,CONUS - CADimp
FDSD.NGIND.US.SUM.A,FDSD.NGIND.US.SUM.F,CONUS - Ind
FDSD.LNP.US.SUM.A,FDSD.LNP.US.SUM.F,CONUS - L&P
PLAG.LNGEXP.SUM.US.A,,CONUS - LNGexp
PLAG.LNGIMP.SUM.US.A,,CONUS - LNGimp
PLAG.US2MX.SUM.NET.A,,CONUS - MexExp
FDSD.PIPELOS.US.SUM.A,FDSD.PIPELOS.US.SUM.F,CONUS - P'loss
FDSD.NGPWR.US.SUM.A,FDSD.NGPWR.US.SUM.F,CONUS - Power
FDSD.NGPR.L48.SUM.A,,CONUS - Prod
FDSD.NGRSCM.US.SUM.A,FDSD.NGRSCM.US.SUM.F,CONUS - ResCom
FDSD.NGPR.GOM.SUM.A,,GOM - Prod
FDSD.NGIND.MW.SUM.A,FDSD.NGIND.MW.SUM.F,Midwest - Ind
FDSD.NGPWR.MW.SUM.A,FDSD.NGPWR.MW.SUM.F,Midwest - Power
FDSD.NGPR.MW.SUM.A,,Midwest - Prod
FDSD.NGRSCM.MW.SUM.A,FDSD.NGRSCM.MW.SUM.F,Midwest - ResCom
FDSD.NGIND.NE.SUM.A,FDSD.NGIND.NE.SUM.F,Northeast - Ind
FDSD.NGPWR.NE.SUM.A,FDSD.NGPWR.NE.SUM.F,Northeast - Power
FDSD.NGPR.NE.SUM.A,,Northeast - Prod
FDSD.NGRSCM.NE.SUM.A,FDSD.NGRSCM.NE.SUM.F,Northeast - ResCom
FDSD.NGIND.ROX.SUM.A,FDSD.NGIND.ROX.SUM.F,Rockies - Ind
FDSD.NGPWR.ROX.SUM.A,FDSD.NGPWR.ROX.SUM.F,Rockies - Power
FDSD.NGPR.ROX.SUM.A,,Rockies - Prod
FDSD.NGRSCM.ROX.SUM.A,FDSD.NGRSCM.ROX.SUM.F,Rockies - ResCom
FDSD.NGIND.ROX.SW.A,FDSD.NGIND.ROX.SW.F,Rockies[SW] - Ind
FDSD.NGPWR.ROX.SW.A,FDSD.NGPWR.ROX.SW.F,Rockies[SW] - Power
FDSD.NGRSCM.ROX.SW.A,FDSD.NGRSCM.ROX.SW.F,Rockies[SW] - ResCom
FDSD.NGIND.ROX.UPPER.A,FDSD.NGIND.ROX.UPPER.F,Rockies[Up] - Ind
FDSD.NGPWR.ROX.UPPER.A,FDSD.NGPWR.ROX.UPPER.F,Rockies[Up] - Power
FDSD.NGRSCM.ROX.UPPER.A,FDSD.NGRSCM.ROX.UPPER.F,Rockies[Up] - ResCom
FDSD.NGIND.SC.SUM.A,FDSD.NGIND.SC.SUM.F,SouthCentral - Ind
FDSD.NGPWR.SC.SUM.A,FDSD.NGPWR.SC.SUM.F,SouthCentral - Power
FDSD.NGPR.SC.SUM.A,,SouthCentral - Prod
FDSD.NGRSCM.SC.SUM.A,FDSD.NGRSCM.SC.SUM.F,SouthCentral - ResCom
FDSD.NGIND.SE.SUM.A,FDSD.NGIND.SE.SUM.F,SouthEast - Ind
FDSD.NGPWR.SE.SUM.A,FDSD.NGPWR.SE.SUM.F,SouthEast - Power
FDSD.NGPR.SE.SUM.A,,SouthEast - Prod
FDSD.NGRSCM.SE.SUM.A,FDSD.NGRSCM.SE.SUM.F,SouthEast - ResCom
FDSD.NGIND.SE.FL.A,FDSD.NGIND.SE.FL.F,SouthEast[Fl] - Ind
FDSD.NGPWR.SE.FL.A,FDSD.NGPWR.SE.FL.F,SouthEast[Fl] - Power
FDSD.NGRSCM.SE.FL.A,FDSD.NGRSCM.SE.FL.F,SouthEast[Fl] - ResCom
FDSD.NGIND.SE.OTH.A,FDSD.NGIND.SE.OTH.F,SouthEast[Oth] - Ind
FDSD.NGPWR.SE.OTH.A,FDSD.NGPWR.SE.OTH.F,SouthEast[Oth] - Power
FDSD.NGRSCM.SE.OTH.A,FDSD.NGRSCM.SE.OTH.F,SouthEast[Oth] - ResCom
FDSD.NGPR.WST.SUM.A,,West - Prod
FDSD.NGIND.WST.CA.A,FDSD.NGIND.WST.CA.F,West[CA] - Ind
FDSD.NGPWR.WST.CA.A,FDSD.NGPWR.WST.CA.F,West[CA] - Power
FDSD.NGRSCM.WST.CA.A,FDSD.NGRSCM.WST.CA.F,West[CA] - ResCom
FDSD.NGIND.WST.PNW.A,FDSD.NGIND.WST.PNW.F,West[PNW] - Ind
FDSD.NGPWR.WST.PNW.A,FDSD.NGPWR.WST.PNW.F,West[PNW] - Power
FDSD.NGRSCM.WST.PNW.A,FDSD.NGRSCM.WST.PNW.F,West[PNW] - ResCom
