Date,Item,Value,state_name
2023-01-01,Calcasieu Pass LNG Feed Gas,10.0,Louisiana
2023-01-02,Calcasieu Pass LNG Feed Gas,8.0,Louisiana
2023-01-03,Calcasieu Pass LNG Feed Gas,8.8,Louisiana
2023-01-04,Calcasieu Pass LNG Feed Gas,9.0,Louisiana
2023-01-05,Calcasieu Pass LNG Feed Gas,9.9,Louisiana
2023-01-06,Calcasieu Pass LNG Feed Gas,10.0,Louisiana
2023-01-07,Calcasieu Pass LNG Feed Gas,10.0,Louisiana
2023-01-08,Calcasieu Pass LNG Feed Gas,4.0,Louisiana
2023-01-09,Calcasieu Pass LNG Feed Gas,3.5,Louisiana
2023-01-10,Calcasieu Pass LNG Feed Gas,3.0,Louisiana
2023-01-11,Calcasieu Pass LNG Feed Gas,9.8,Louisiana
2023-01-12,Calcasieu Pass LNG Feed Gas,10.0,Louisiana
2023-01-13,Calcasieu Pass LNG Feed Gas,10.0,Louisiana
