Region,Component,AnalogYear,ΔBasis ($)_+2wk,ΔBasis ($)_+3wk,ΔBasis ($)_+4wk,ΔBasis (%)_+2wk,ΔBasis (%)_+3wk,ΔBasis (%)_+4wk
East,AGT-CG (non-G),"2017,2020",0.5548000000000002,0.5386500000000001,0.04599999999999993,-221.5579665958515,-118.10433735214045,5.448886027023412
East,Eastern Gas-South,"2017,2020",0.09100000000000008,0.07739999999999991,0.0939000000000001,-28.067750448523142,-17.60694639338679,-15.688061820249676
East,Iroquois (into),"2017,2020",0.4859999999999999,0.43989999999999996,0.4038999999999999,745.4656993491986,311.5353497635078,765.9096162736972
East,Iroquois-Z2,"2017,2020",0.46575,0.46350000000000013,0.3944000000000002,101.61065287177443,32.3765474896489,180.392040651098
East,Leidy-Transco,"2017,2020",0.05850000000000011,0.08489999999999998,0.08640000000000003,-26.894349556609974,-20.924429094327564,-14.489898751637948
East,TETCO-M3,"2017,2020",0.11850000000000005,0.1149,0.1238999999999999,-39.99554457487988,-31.51589347205626,-33.26367625801753
East,TGP-Z4 Marcellus,"2017,2020",0.08245000000000013,0.09870000000000012,0.09920000000000007,-27.90553050117959,-21.39060651982462,-13.564626377669592
East,TGP-Z4 Sta-219,"2017,2020",0.08099999999999996,0.04989999999999983,0.10139999999999982,-33.246678211856235,-2.3504507879164356,-32.770171796820925
East,TGP-Z4 Sta-313,"2017,2020",0.10920000000000007,0.08379999999999999,0.11645000000000005,-35.13600549891375,-20.898505540758176,-21.744644194171492
East,Transco-Z6 (NY),"2017,2020",0.3560000000000001,0.3948999999999999,0.17889999999999995,-72.55200650524927,-66.21330382106245,-47.7122268134771
East,Transco-Z6 (non-NY north),"2017,2020",0.3285000000000001,0.3698999999999999,0.14639999999999997,-69.26946874846595,-65.39112513051022,-42.18704372356687
East,Transco-Z6 (non-NY),"2017,2020",0.3185000000000001,0.3549,0.13140000000000007,-69.04592308441173,-64.88537117133787,-40.518176363300306
East,Transco-Z6 Sta-210,"2017,2020",-0.013449999999999962,0.008649999999999936,-0.08130000000000004,30.25412265264049,14.38061886468649,54.413949681986736
Midwest,Chicago,"2017,2021,2023",0.02289999999999977,-0.055233333333333544,-0.08256666666666668,-16.585550707747007,39.5472409817175,70.86135487079962
Midwest,Michcon,"2017,2021,2023",0.008633333333333049,-0.05720000000000006,-0.09306666666666648,1.6432556098828617,57.45198350016293,69.53745816593921
Midwest,NBPL-Vector,2017,-0.018599999999999728,-0.04190000000000005,-0.04530000000000012,16.6666666666664,37.54480286738351,40.59139784946242
Midwest,NNG-Demarc,"2017,2021,2023",-0.015600000000000206,-0.05346666666666685,-0.0740666666666665,31.154488736302454,82.68638503605763,35.45584570722382
Midwest,NNG-Ventura,"2017,2021,2023",-0.010566666666666835,-0.06646666666666667,-0.10389999999999981,11.233314158824756,56.278592407353784,63.447519254880774
Midwest,Panhandle,"2017,2021,2023",-0.03966666666666666,-0.07329999999999992,-0.11713333333333309,29.000922720323143,51.216310965522545,46.115981158465935
Midwest,REX E-NGPL,"2017,2021,2023",0.026933333333333104,-0.03136666666666691,-0.05430000000000009,-15.119274132991668,15.04611249566677,33.843925487572456
Midwest,REX-Z3 (receipt),"2021,2023",-0.15215000000000023,-0.47730000000000006,-0.38239999999999985,6.583023612931318,18.46116760276854,15.654564026286181
Midwest,TCO,"2017,2021,2023",-0.06876666666666693,-0.20690000000000017,-0.08423333333333338,12.062945137415744,48.79707310477113,15.747662413000981
Midwest,TETCO-M2 (receipt),"2017,2021,2023",0.006233333333333239,-0.001900000000000161,0.11076666666666675,7.99926056313038,4.984172307279409,-3.4216929650711996
