LNG_Name,start_date,end_date,outage_start_value,outage_end_value
Calcasieu Pass LNG Feed Gas,04/25/2021,08/19/2021,0.001,0.0
Calcasieu Pass LNG Feed Gas,08/21/2021,09/20/2021,9.945,0.0
Calcasieu Pass LNG Feed Gas,09/22/2021,10/05/2021,9.875,7.956
Calcasieu Pass LNG Feed Gas,10/08/2021,11/21/2021,19.89,14.918
Calcasieu Pass LNG Feed Gas,12/02/2021,01/19/2022,50.72,39.673
Calcasieu Pass LNG Feed Gas,01/23/2022,01/27/2022,47.564,29.754
Calcasieu Pass LNG Feed Gas,02/07/2022,02/09/2022,248.946,198.363
Calcasieu Pass LNG Feed Gas,02/14/2022,02/16/2022,358.857,306.879
Calcasieu Pass LNG Feed Gas,02/19/2022,02/27/2022,429.85,404.751
Calcasieu Pass LNG Feed Gas,03/14/2022,03/16/2022,722.915,588.182
Calcasieu Pass LNG Feed Gas,03/20/2022,03/24/2022,750.096,665.115
Calcasieu Pass LNG Feed Gas,03/28/2022,03/30/2022,717.977,642.204
Calcasieu Pass LNG Feed Gas,04/03/2022,04/21/2022,821.211,766.167
Calcasieu Pass LNG Feed Gas,05/01/2022,05/07/2022,980.222,682.325
Calcasieu Pass LNG Feed Gas,05/10/2022,05/17/2022,1143.214,1060.534
Calcasieu Pass LNG Feed Gas,05/25/2022,06/03/2022,1166.073,1014.635
Calcasieu Pass LNG Feed Gas,06/16/2022,06/19/2022,1425.735,1325.793
Calcasieu Pass LNG Feed Gas,06/21/2022,06/23/2022,1112.828,1041.111
Calcasieu Pass LNG Feed Gas,07/15/2022,07/17/2022,1521.498,1296.045
Calcasieu Pass LNG Feed Gas,07/24/2022,07/26/2022,1521.58,1382.436
Calcasieu Pass LNG Feed Gas,07/30/2022,08/09/2022,1510.33,1379.868
Calcasieu Pass LNG Feed Gas,08/13/2022,08/24/2022,1559.689,1330.563
Calcasieu Pass LNG Feed Gas,08/31/2022,09/03/2022,1600.376,1432.951
Calcasieu Pass LNG Feed Gas,09/06/2022,09/11/2022,1784.069,1650.638
Calcasieu Pass LNG Feed Gas,09/13/2022,09/15/2022,1678.472,1571.784
Calcasieu Pass LNG Feed Gas,10/04/2022,10/10/2022,1728.303,1617.995
Calcasieu Pass LNG Feed Gas,10/17/2022,10/19/2022,1779.628,1595.029
Calcasieu Pass LNG Feed Gas,10/24/2022,10/31/2022,1723.982,1523.806
Calcasieu Pass LNG Feed Gas,11/08/2022,11/11/2022,1753.808,1503.855
Calcasieu Pass LNG Feed Gas,11/15/2022,11/25/2022,1757.06,1364.073
Calcasieu Pass LNG Feed Gas,12/02/2022,12/04/2022,1789.755,1301.292
Calcasieu Pass LNG Feed Gas,12/22/2022,01/09/2023,1788.378,1640.357
Calcasieu Pass LNG Feed Gas,01/12/2023,01/14/2023,1724.861,1635.491
