Component,Entry Date,Exit Date,Signal,Entry Price,Exit Price,Holding Days Actual,Return,ΔStorage,ΔTemp/HDD/CDD,Price Momentum,Basis Deviation,ΔLNG Feed Gas,Nuclear Drop,Managed Money,Upcoming Outage Risk,Forecasted Balance,SMA Crossover,Volatility Breakout,Confidence
AGT-CG (non-G),2023-02-01,2023-02-08,STRONG BUY,13.5838,2.8658,7,-0.7890281070098205,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2023-02-02,2023-02-09,STRONG BUY,16.1489,2.5225,7,-0.8437974103499309,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2023-02-03,2023-02-10,STRONG BUY,66.4202,2.3111,7,-0.9652048623762048,0,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2023-02-24,2023-03-03,STRONG BUY,15.543,3.9729,7,-0.7443929743292801,0,3,2,2,0,3,0,1,0,-1,1,0.5454545454545454
AGT-CG (non-G),2023-05-02,2023-05-09,STRONG BUY,2.376,1.8418,7,-0.22483164983164974,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2023-05-31,2023-06-07,STRONG BUY,1.787,1.7557,7,-0.017515388919977552,0,1,1,1,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2023-06-01,2023-06-08,STRONG BUY,4.9,1.6101,7,-0.6714081632653062,0,1,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2023-06-23,2023-06-30,STRONG BUY,3.2862,3.6567,7,0.11274420303085625,0,1,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2023-06-24,2023-07-01,STRONG BUY,4.747,3.53,7,-0.25637244575521384,0,1,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2023-06-27,2023-07-04,STRONG BUY,6.5889,3.53,7,-0.4642504818710255,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2023-06-28,2023-07-04,STRONG BUY,7.1409,3.53,6,-0.505664552087272,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2023-07-06,2023-07-13,STRONG BUY,7.9266,1.8681,7,-0.7643251835591552,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2023-07-27,2023-08-03,STRONG BUY,6.2273,1.5594,7,-0.7495864981613218,0,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2023-07-28,2023-08-04,STRONG BUY,3.505,1.4933,7,-0.5739514978601997,0,3,1,1,0,3,0,1,0,1,-1,0.5454545454545454
AGT-CG (non-G),2023-09-06,2023-09-13,STRONG BUY,2.584,2.3487,7,-0.09106037151702788,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2023-09-07,2023-09-14,STRONG BUY,2.539,1.7401,7,-0.314651437573848,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
