settlement_month,settlement_year,market_component,settlement,settlement_basis
January,2015,AGT-CG (non-G),10.12,6.93
February,2015,ANR-SE,,
March,2015,ANR-SE,,
April,2015,ANR-SE,,
May,2015,ANR-SE,,
June,2015,ANR-SE,,
July,2015,ANR-SE,,
August,2015,ANR-SE,,
September,2015,ANR-SE,,
October,2015,ANR-SE,,
November,2015,ANR-SE,,
December,2015,ANR-SE,,
January,2015,Agua Dulce Hub,,
February,2015,CIG-Mainline,,
March,2015,CIG-Mainline,,
April,2015,CIG-Mainline,,
May,2015,CIG-Mainline,,
June,2015,CIG-Mainline,,
July,2015,CIG-Mainline,,
August,2015,CIG-Mainline,,
September,2015,CIG-Mainline,,
October,2015,CIG-Mainline,,
November,2015,CIG-Mainline,,
December,2015,CIG-Mainline,,
January,2015,ANR-Joliet Hub,,
February,2015,TGP-Z0 North,2.73,-0.14
March,2015,TGP-Z0 North,2.76,-0.14
April,2015,TGP-Z0 North,0,-2.61
May,2015,TGP-Z0 North,2.41,-0.12
June,2015,TGP-Z0 North,2.72,-0.1
July,2015,TGP-Z0 North,2.68,-0.09
August,2015,TGP-Z0 North,2.8,-0.09
September,2015,TGP-Z0 North,2.54,-0.1
October,2015,TGP-Z0 North,2.46,-0.1
November,2015,TGP-Z0 North,1.94,-0.09
December,2015,TGP-Z0 North,2.12,-0.09
January,2015,ANR-SE,,
February,2015,Transco-Z6 (non-NY north),,
March,2015,Transco-Z6 (non-NY north),,
April,2015,Transco-Z6 (non-NY north),,
May,2015,Transco-Z6 (non-NY north),,
June,2015,Transco-Z6 (non-NY north),,
July,2015,Transco-Z6 (non-NY north),,
August,2015,Transco-Z6 (non-NY north),,
September,2015,Transco-Z6 (non-NY north),2.58,-0.06
October,2015,Transco-Z6 (non-NY north),2.38,-0.18
November,2015,Transco-Z6 (non-NY north),2.19,0.16
December,2015,Transco-Z6 (non-NY north),2.71,0.5
October,2015,Leidy,,
January,2015,ANR-SE-T,,
February,2015,AGT-CG (non-G),10.4,7.53
March,2015,AGT-CG (non-G),9.53,6.63
April,2015,AGT-CG (non-G),3.3,0.69
May,2015,AGT-CG (non-G),2.33,-0.2
June,2015,AGT-CG (non-G),2.26,-0.56
July,2015,AGT-CG (non-G),1.93,-0.84
August,2015,AGT-CG (non-G),2.01,-0.88
September,2015,AGT-CG (non-G),2.63,-0.01
October,2015,AGT-CG (non-G),3.5,0.94
November,2015,AGT-CG (non-G),4.89,2.86
December,2015,AGT-CG (non-G),5.22,3.01
January,2015,ANR-SW,,
February,2015,Agua Dulce Hub,,
March,2015,Agua Dulce Hub,,
April,2015,Agua Dulce Hub,,
May,2015,Agua Dulce Hub,,
June,2015,Agua Dulce Hub,,
July,2015,Agua Dulce Hub,,
August,2015,Agua Dulce Hub,,
September,2015,Agua Dulce Hub,,
October,2015,Agua Dulce Hub,,
November,2015,Agua Dulce Hub,,
December,2015,Agua Dulce Hub,,
January,2015,APC-ACE,,
February,2015,ANR-Joliet Hub,,
March,2015,ANR-Joliet Hub,,
April,2015,ANR-Joliet Hub,,
May,2015,ANR-Joliet Hub,,
June,2015,ANR-Joliet Hub,,
July,2015,ANR-Joliet Hub,,
August,2015,ANR-Joliet Hub,,
September,2015,ANR-Joliet Hub,,
October,2015,ANR-Joliet Hub,,
November,2015,ANR-Joliet Hub,,
December,2015,ANR-Joliet Hub,,
January,2015,Carthage,,
February,2015,ANR-SE-T,,
March,2015,ANR-SE-T,,
April,2015,ANR-SE-T,,
May,2015,ANR-SE-T,,
June,2015,ANR-SE-T,,
July,2015,ANR-SE-T,,
August,2015,ANR-SE-T,,
September,2015,ANR-SE-T,,
October,2015,ANR-SE-T,,
November,2015,ANR-SE-T,,
December,2015,ANR-SE-T,,
January,2015,CG-Mainline,3.09,-0.1
February,2015,ANR-SW,,
March,2015,ANR-SW,,
April,2015,ANR-SW,,
May,2015,ANR-SW,,
June,2015,ANR-SW,,
July,2015,ANR-SW,,
August,2015,ANR-SW,,
September,2015,ANR-SW,,
October,2015,ANR-SW,,
November,2015,ANR-SW,,
December,2015,ANR-SW,,
January,2015,CG-Onshore,3.12,-0.07
February,2015,APC-ACE,,
March,2015,APC-ACE,,
April,2015,APC-ACE,,
May,2015,APC-ACE,,
June,2015,APC-ACE,,
July,2015,APC-ACE,,
August,2015,APC-ACE,,
September,2015,APC-ACE,,
October,2015,APC-ACE,,
November,2015,APC-ACE,,
December,2015,APC-ACE,,
January,2015,Cheyenne,,
February,2015,Carthage,,
March,2015,Carthage,,
April,2015,Carthage,,
May,2015,Carthage,,
June,2015,Carthage,,
July,2015,Carthage,,
August,2015,Carthage,,
September,2015,Carthage,,
October,2015,Carthage,,
November,2015,Carthage,,
December,2015,Carthage,,
January,2015,Chicago,3.61,0.42
February,2015,CG-Mainline,2.78,-0.09
March,2015,CG-Mainline,2.83,-0.07
April,2015,CG-Mainline,2.51,-0.1
May,2015,CG-Mainline,2.44,-0.09
June,2015,CG-Mainline,2.72,-0.1
July,2015,CG-Mainline,2.71,-0.06
August,2015,CG-Mainline,2.8,-0.09
September,2015,CG-Mainline,2.58,-0.06
October,2015,CG-Mainline,2.47,-0.09
November,2015,CG-Mainline,1.94,-0.09
December,2015,CG-Mainline,2.12,-0.09
April,2015,Cheyenne,,
January,2015,CIG-Mainline,,
February,2015,CG-Onshore,2.82,-0.05
March,2015,CG-Onshore,2.85,-0.05
April,2015,CG-Onshore,2.53,-0.08
May,2015,CG-Onshore,2.45,-0.08
June,2015,CG-Onshore,2.77,-0.05
July,2015,CG-Onshore,2.74,-0.03
August,2015,CG-Onshore,2.85,-0.04
September,2015,CG-Onshore,2.59,-0.05
October,2015,CG-Onshore,2.5,-0.06
November,2015,CG-Onshore,1.96,-0.07
December,2015,CG-Onshore,2.14,-0.07
January,2015,CIG-Mainline Pool,,
February,2015,Cheyenne,,
March,2015,Cheyenne,,
May,2015,Cheyenne,,
June,2015,Cheyenne,,
July,2015,Cheyenne,,
August,2015,Cheyenne,,
September,2015,Cheyenne,,
October,2015,Cheyenne,,
November,2015,Cheyenne,,
December,2015,Cheyenne,,
January,2015,Clarington,,
February,2015,Chicago,3.02,0.15
March,2015,Chicago,3.67,0.77
April,2015,Chicago,2.65,0.04
May,2015,Chicago,2.52,-0.01
June,2015,Chicago,2.86,0.04
July,2015,Chicago,2.82,0.05
August,2015,Chicago,2.89,0
September,2015,Chicago,2.78,0.14
October,2015,Chicago,2.7,0.14
November,2015,Chicago,2.34,0.31
December,2015,Chicago,2.39,0.18
January,2015,Consumers,,
February,2015,CIG-Mainline Pool,,
March,2015,CIG-Mainline Pool,,
April,2015,CIG-Mainline Pool,,
May,2015,CIG-Mainline Pool,,
June,2015,CIG-Mainline Pool,,
July,2015,CIG-Mainline Pool,,
August,2015,CIG-Mainline Pool,,
