Date,item,value,region
01/01/2015,CONUS - Balance,0.0,Conus
01/02/2015,CONUS - Balance,0.0,Conus
01/03/2015,CONUS - Balance,0.0,Conus
01/04/2015,CONUS - Balance,0.0,Conus
01/05/2015,CONUS - Balance,0.0,Conus
01/06/2015,CONUS - Balance,0.0,Conus
01/07/2015,CONUS - Balance,0.0,Conus
01/08/2015,CONUS - Balance,0.0,Conus
01/09/2015,CONUS - Balance,0.0,Conus
01/10/2015,CONUS - Balance,0.0,Conus
01/11/2015,CONUS - Balance,0.0,Conus
01/12/2015,CONUS - Balance,0.0,Conus
01/13/2015,CONUS - Balance,0.0,Conus
01/14/2015,CONUS - Balance,0.0,Conus
01/15/2015,CONUS - Balance,0.0,Conus
01/16/2015,CONUS - Balance,0.0,Conus
01/17/2015,CONUS - Balance,0.0,Conus
01/18/2015,CONUS - Balance,0.0,Conus
01/19/2015,CONUS - Balance,0.0,Conus
01/20/2015,CONUS - Balance,0.0,Conus
01/21/2015,CONUS - Balance,0.0,Conus
01/22/2015,CONUS - Balance,0.0,Conus
01/23/2015,CONUS - Balance,0.0,Conus
01/24/2015,CONUS - Balance,0.0,Conus
01/25/2015,CONUS - Balance,0.0,Conus
01/26/2015,CONUS - Balance,0.0,Conus
01/27/2015,CONUS - Balance,0.0,Conus
01/28/2015,CONUS - Balance,0.0,Conus
01/29/2015,CONUS - Balance,0.0,Conus
01/30/2015,CONUS - Balance,0.0,Conus
01/31/2015,CONUS - Balance,0.0,Conus
02/01/2015,CONUS - Balance,0.0,Conus
02/02/2015,CONUS - Balance,0.0,Conus
02/03/2015,CONUS - Balance,0.0,Conus
02/04/2015,CONUS - Balance,0.0,Conus
02/05/2015,CONUS - Balance,0.0,Conus
02/06/2015,CONUS - Balance,0.0,Conus
02/07/2015,CONUS - Balance,0.0,Conus
02/08/2015,CONUS - Balance,0.0,Conus
02/09/2015,CONUS - Balance,0.0,Conus
02/10/2015,CONUS - Balance,0.0,Conus
02/11/2015,CONUS - Balance,0.0,Conus
02/12/2015,CONUS - Balance,0.0,Conus
