Date,item,value,region
07/09/2025,CONUS - Balance,0.0,Conus
07/10/2025,CONUS - Balance,0.0,Conus
07/11/2025,CONUS - Balance,0.0,Conus
07/12/2025,CONUS - Balance,0.0,Conus
07/13/2025,CONUS - Balance,0.0,Conus
07/14/2025,CONUS - Balance,0.0,Conus
07/15/2025,CONUS - Balance,0.0,Conus
07/16/2025,CONUS - Balance,0.0,Conus
07/17/2025,CONUS - Balance,0.0,Conus
07/18/2025,CONUS - Balance,0.0,Conus
07/19/2025,CONUS - Balance,0.0,Conus
07/20/2025,CONUS - Balance,0.0,Conus
07/21/2025,CONUS - Balance,0.0,Conus
07/22/2025,CONUS - Balance,0.0,Conus
07/23/2025,CONUS - Balance,0.0,Conus
07/09/2025,Midwest - Balance,0.0,Midwest
07/10/2025,Midwest - Balance,0.0,Midwest
07/11/2025,Midwest - Balance,0.0,Midwest
07/12/2025,Midwest - Balance,0.0,Midwest
07/13/2025,Midwest - Balance,0.0,Midwest
07/14/2025,Midwest - Balance,0.0,Midwest
07/15/2025,Midwest - Balance,0.0,Midwest
07/16/2025,Midwest - Balance,0.0,Midwest
07/17/2025,Midwest - Balance,0.0,Midwest
07/18/2025,Midwest - Balance,0.0,Midwest
07/19/2025,Midwest - Balance,0.0,Midwest
07/20/2025,Midwest - Balance,0.0,Midwest
07/21/2025,Midwest - Balance,0.0,Midwest
07/22/2025,Midwest - Balance,0.0,Midwest
07/23/2025,Midwest - Balance,0.0,Midwest
07/09/2025,Northeast - Balance,0.0,Northeast
07/10/2025,Northeast - Balance,0.0,Northeast
07/11/2025,Northeast - Balance,0.0,Northeast
07/12/2025,Northeast - Balance,0.0,Northeast
07/13/2025,Northeast - Balance,0.0,Northeast
07/14/2025,Northeast - Balance,0.0,Northeast
07/15/2025,Northeast - Balance,0.0,Northeast
07/16/2025,Northeast - Balance,0.0,Northeast
07/17/2025,Northeast - Balance,0.0,Northeast
07/18/2025,Northeast - Balance,0.0,Northeast
07/19/2025,Northeast - Balance,0.0,Northeast
07/20/2025,Northeast - Balance,0.0,Northeast
07/21/2025,Northeast - Balance,0.0,Northeast
07/22/2025,Northeast - Balance,0.0,Northeast
07/23/2025,Northeast - Balance,0.0,Northeast
07/09/2025,Rockies - Balance,0.0,Rockies
07/10/2025,Rockies - Balance,0.0,Rockies
07/11/2025,Rockies - Balance,0.0,Rockies
07/12/2025,Rockies - Balance,0.0,Rockies
07/13/2025,Rockies - Balance,0.0,Rockies
07/14/2025,Rockies - Balance,0.0,Rockies
07/15/2025,Rockies - Balance,0.0,Rockies
07/16/2025,Rockies - Balance,0.0,Rockies
07/17/2025,Rockies - Balance,0.0,Rockies
07/18/2025,Rockies - Balance,0.0,Rockies
07/19/2025,Rockies - Balance,0.0,Rockies
07/20/2025,Rockies - Balance,0.0,Rockies
07/21/2025,Rockies - Balance,0.0,Rockies
07/22/2025,Rockies - Balance,0.0,Rockies
07/23/2025,Rockies - Balance,0.0,Rockies
07/09/2025,SouthCentral - Balance,0.0,SouthCentral
07/10/2025,SouthCentral - Balance,0.0,SouthCentral
07/11/2025,SouthCentral - Balance,0.0,SouthCentral
07/12/2025,SouthCentral - Balance,0.0,SouthCentral
07/13/2025,SouthCentral - Balance,0.0,SouthCentral
07/14/2025,SouthCentral - Balance,0.0,SouthCentral
07/15/2025,SouthCentral - Balance,0.0,SouthCentral
07/16/2025,SouthCentral - Balance,0.0,SouthCentral
07/17/2025,SouthCentral - Balance,0.0,SouthCentral
07/18/2025,SouthCentral - Balance,0.0,SouthCentral
07/19/2025,SouthCentral - Balance,0.0,SouthCentral
07/20/2025,SouthCentral - Balance,0.0,SouthCentral
07/21/2025,SouthCentral - Balance,0.0,SouthCentral
07/22/2025,SouthCentral - Balance,0.0,SouthCentral
07/23/2025,SouthCentral - Balance,0.0,SouthCentral
07/09/2025,SouthEast - Balance,0.0,SouthEast
07/10/2025,SouthEast - Balance,0.0,SouthEast
07/11/2025,SouthEast - Balance,0.0,SouthEast
07/12/2025,SouthEast - Balance,0.0,SouthEast
07/13/2025,SouthEast - Balance,0.0,SouthEast
07/14/2025,SouthEast - Balance,0.0,SouthEast
07/15/2025,SouthEast - Balance,0.0,SouthEast
07/16/2025,SouthEast - Balance,0.0,SouthEast
07/17/2025,SouthEast - Balance,0.0,SouthEast
07/18/2025,SouthEast - Balance,0.0,SouthEast
07/19/2025,SouthEast - Balance,0.0,SouthEast
07/20/2025,SouthEast - Balance,0.0,SouthEast
07/21/2025,SouthEast - Balance,0.0,SouthEast
07/22/2025,SouthEast - Balance,0.0,SouthEast
07/23/2025,SouthEast - Balance,0.0,SouthEast
07/09/2025,Total Demand - California ,5259.32,California
07/10/2025,Total Demand - California ,5674.308,California
07/11/2025,Total Demand - California ,5778.8765,California
07/12/2025,Total Demand - California ,4796.0737,California
07/13/2025,Total Demand - California ,4543.8926,California
07/14/2025,Total Demand - California ,5003.441,California
07/15/2025,Total Demand - California ,4932.3374,California
07/16/2025,Total Demand - California ,4963.478,California
07/17/2025,Total Demand - California ,4994.2075,California
07/18/2025,Total Demand - California ,5079.12,California
07/19/2025,Total Demand - California ,4630.3403,California
07/20/2025,Total Demand - California ,4686.6367,California
07/21/2025,Total Demand - California ,5255.8765,California
07/22/2025,Total Demand - California ,5303.4165,California
07/23/2025,Total Demand - California ,5374.2144,California
07/09/2025,Total Demand - Lower 48 ,74772.08,Lower 48
07/10/2025,Total Demand - Lower 48 ,74584.01,Lower 48
07/11/2025,Total Demand - Lower 48 ,75396.95,Lower 48
07/12/2025,Total Demand - Lower 48 ,67422.3,Lower 48
07/13/2025,Total Demand - Lower 48 ,66992.84,Lower 48
07/14/2025,Total Demand - Lower 48 ,74970.05,Lower 48
07/15/2025,Total Demand - Lower 48 ,76214.1,Lower 48
07/16/2025,Total Demand - Lower 48 ,76510.23,Lower 48
07/17/2025,Total Demand - Lower 48 ,75395.4,Lower 48
07/18/2025,Total Demand - Lower 48 ,74495.33,Lower 48
07/19/2025,Total Demand - Lower 48 ,66235.53,Lower 48
07/20/2025,Total Demand - Lower 48 ,66680.24,Lower 48
07/21/2025,Total Demand - Lower 48 ,75160.39,Lower 48
07/22/2025,Total Demand - Lower 48 ,76267.555,Lower 48
07/23/2025,Total Demand - Lower 48 ,77343.35,Lower 48
07/09/2025,Total Demand - Midwest,11348.536,Midwest
07/10/2025,Total Demand - Midwest,11460.31,Midwest
07/11/2025,Total Demand - Midwest,11797.457,Midwest
07/12/2025,Total Demand - Midwest,10742.769,Midwest
07/13/2025,Total Demand - Midwest,10557.793,Midwest
07/14/2025,Total Demand - Midwest,11879.768,Midwest
07/15/2025,Total Demand - Midwest,12100.882,Midwest
07/16/2025,Total Demand - Midwest,11810.592,Midwest
07/17/2025,Total Demand - Midwest,11125.888,Midwest
07/18/2025,Total Demand - Midwest,11274.222,Midwest
07/19/2025,Total Demand - Midwest,10056.429,Midwest
07/20/2025,Total Demand - Midwest,10173.737,Midwest
07/21/2025,Total Demand - Midwest,11565.765,Midwest
07/22/2025,Total Demand - Midwest,11759.713,Midwest
07/23/2025,Total Demand - Midwest,11848.738,Midwest
07/09/2025,Total Demand - Northeast,17163.992,Northeast
07/10/2025,Total Demand - Northeast,16396.059,Northeast
07/11/2025,Total Demand - Northeast,16733.67,Northeast
07/12/2025,Total Demand - Northeast,15167.379,Northeast
07/13/2025,Total Demand - Northeast,15088.513,Northeast
07/14/2025,Total Demand - Northeast,16740.627,Northeast
