Date,loc_name,Scheduled Quantity,Operationally Available
03/01/2015,Acadian - HH,45101.0,104900.0
03/02/2015,Acadian - HH,45101.0,104900.0
03/03/2015,Acadian - HH,32035.0,117964.0
03/04/2015,Acadian - HH,37501.0,112498.0
03/05/2015,Acadian - HH,45501.0,110898.0
03/06/2015,Acadian - HH,19301.0,141400.0
03/07/2015,Acadian - HH,22501.0,127498.0
03/08/2015,Acadian - HH,22501.0,127498.0
03/09/2015,Acadian - HH,15001.0,138748.0
03/10/2015,Acadian - HH,20808.0,123694.0
03/11/2015,Acadian - HH,501.0,149500.0
03/12/2015,Acadian - HH,1.0,149998.0
03/13/2015,Acadian - HH,1.0,149998.0
03/14/2015,Acadian - HH,9022.0,140978.0
03/15/2015,Acadian - HH,9022.0,140978.0
03/16/2015,Acadian - HH,9022.0,140978.0
03/17/2015,Acadian - HH,3722.0,146278.0
03/18/2015,Acadian - HH,10022.0,139978.0
03/19/2015,Acadian - HH,22.0,149978.0
03/20/2015,Acadian - HH,22.0,149978.0
03/21/2015,Acadian - HH,8005.0,141994.0
03/22/2015,Acadian - HH,8005.0,141994.0
03/23/2015,Acadian - HH,8005.0,141994.0
03/24/2015,Acadian - HH,1.0,149998.0
03/25/2015,Acadian - HH,10303.0,139696.0
03/26/2015,Acadian - HH,1.0,149998.0
03/27/2015,Acadian - HH,1.0,149998.0
03/28/2015,Acadian - HH,1.0,149998.0
03/29/2015,Acadian - HH,1.0,149998.0
03/30/2015,Acadian - HH,1.0,149998.0
03/31/2015,Acadian - HH,5000.0,145000.0
04/01/2015,Acadian - HH,49312.0,100688.0
04/02/2015,Acadian - HH,39712.0,110288.0
04/03/2015,Acadian - HH,29880.0,120120.0
04/04/2015,Acadian - HH,29880.0,120120.0
04/05/2015,Acadian - HH,29880.0,116252.0
04/06/2015,Acadian - HH,29880.0,120120.0
04/07/2015,Acadian - HH,18612.0,131388.0
04/08/2015,Acadian - HH,11073.0,140790.0
04/09/2015,Acadian - HH,1797.0,146406.0
04/10/2015,Acadian - HH,3970.0,153732.0
04/11/2015,Acadian - HH,0.0,150000.0
04/12/2015,Acadian - HH,0.0,150000.0
04/13/2015,Acadian - HH,0.0,150000.0
04/14/2015,Acadian - HH,0.0,150000.0
04/15/2015,Acadian - HH,72.0,149928.0
04/16/2015,Acadian - HH,0.0,150000.0
04/17/2015,Acadian - HH,12772.0,137228.0
04/18/2015,Acadian - HH,72.0,149928.0
04/19/2015,Acadian - HH,72.0,149928.0
04/20/2015,Acadian - HH,72.0,149928.0
04/21/2015,Acadian - HH,11972.0,138028.0
04/22/2015,Acadian - HH,0.0,150000.0
04/23/2015,Acadian - HH,0.0,150000.0
04/24/2015,Acadian - HH,0.0,150000.0
04/25/2015,Acadian - HH,0.0,150000.0
04/26/2015,Acadian - HH,0.0,150000.0
04/27/2015,Acadian - HH,0.0,150000.0
04/28/2015,Acadian - HH,0.0,150000.0
04/29/2015,Acadian - HH,0.0,150000.0
04/30/2015,Acadian - HH,0.0,150000.0
05/01/2015,Acadian - HH,0.0,150000.0
05/02/2015,Acadian - HH,0.0,150000.0
05/03/2015,Acadian - HH,0.0,150000.0
05/04/2015,Acadian - HH,0.0,150000.0
05/05/2015,Acadian - HH,0.0,150000.0
05/06/2015,Acadian - HH,8600.0,132800.0
05/07/2015,Acadian - HH,0.0,150000.0
05/08/2015,Acadian - HH,0.0,150000.0
05/09/2015,Acadian - HH,0.0,150000.0
05/10/2015,Acadian - HH,0.0,150000.0
05/11/2015,Acadian - HH,8000.0,138000.0
05/12/2015,Acadian - HH,30419.0,104372.0
05/13/2015,Acadian - HH,15991.0,134008.0
05/14/2015,Acadian - HH,0.0,150000.0
05/15/2015,Acadian - HH,0.0,150000.0
05/16/2015,Acadian - HH,0.0,150000.0
05/17/2015,Acadian - HH,0.0,150000.0
05/18/2015,Acadian - HH,0.0,150000.0
05/19/2015,Acadian - HH,0.0,150000.0
05/20/2015,Acadian - HH,0.0,150000.0
05/21/2015,Acadian - HH,0.0,150000.0
05/22/2015,Acadian - HH,0.0,150000.0
05/23/2015,Acadian - HH,300.0,149700.0
05/24/2015,Acadian - HH,300.0,149700.0
05/25/2015,Acadian - HH,300.0,149700.0
05/26/2015,Acadian - HH,300.0,149700.0
05/27/2015,Acadian - HH,300.0,149700.0
05/28/2015,Acadian - HH,4000.0,142000.0
05/29/2015,Acadian - HH,0.0,150000.0
05/30/2015,Acadian - HH,0.0,150000.0
05/31/2015,Acadian - HH,0.0,150000.0
06/01/2015,Acadian - HH,11667.0,138334.0
06/02/2015,Acadian - HH,10000.0,140000.0
06/03/2015,Acadian - HH,58020.0,91980.0
06/04/2015,Acadian - HH,35494.0,79012.0
06/05/2015,Acadian - HH,0.0,150000.0
06/06/2015,Acadian - HH,0.0,150000.0
06/07/2015,Acadian - HH,0.0,150000.0
06/08/2015,Acadian - HH,0.0,150000.0
06/09/2015,Acadian - HH,0.0,150000.0
06/10/2015,Acadian - HH,0.0,150000.0
06/11/2015,Acadian - HH,7635.0,142364.0
06/12/2015,Acadian - HH,0.0,150000.0
06/13/2015,Acadian - HH,4167.0,143750.0
