Period,Prod,CadIMP,Power Burn,Industrial,ResCom,MexExp,LNGExp
2015-01,73.4449,8.6344,22.9459,23.1716,47.43822581,2.214,0.0914
2015-02,73.8098,8.6399,23.1551,23.558,50.70375,2.307,0.0981
2015-03,74.1357,7.8228,22.8623,21.3423,32.86622581,2.3963,0.0007
2015-04,75.206,6.7378,22.1425,20.2644,18.38286667,2.5732,0.0008
2015-05,74.1234,6.5337,23.6931,19.4465,10.90583871,2.8002,0.0893
2015-06,73.951,6.7861,29.5492,19.1561,8.6504,3.0241,0.0925
2015-07,74.1853,6.7645,33.7272,19.0935,7.80283871,3.2591,0.0894
2015-08,74.2697,6.5344,33.1158,19.3505,7.681741935,3.2623,0.0891
2015-09,74.7385,6.7689,29.8348,19.302,8.220566667,3.337,0.0922
2015-10,74.1941,7.0159,25.5336,19.774,12.79035484,3.1714,0.0893
2015-11,73.8826,7.0211,24.4138,21.2846,22.9947,3.0497,0.099
2015-12,73.8869,7.1468,24.7937,21.7591,30.43280645,3.2243,0.1023
2016-01,73.5594,8.4343,24.9663,23.2636,44.58158065,3.1884,0.0008
2016-02,74.6012,8.343,23.7862,22.8548,38.05603448,3.3529,0.1141
2016-03,73.7587,7.4869,24.0247,21.3772,24.30477419,3.3359,0.3251
2016-04,73.7073,7.8817,23.9631,20.6682,18.70393333,3.4952,0.3345
2016-05,72.8677,7.8393,25.9494,19.7637,11.78125806,3.7292,0.3185
2016-06,72.1696,7.8048,32.3436,19.6797,8.699333333,3.8612,0.5482
2016-07,72.7601,8.3591,36.7732,19.8865,7.775129032,3.9733,0.5077
2016-08,72.1832,8.1869,37.1366,20.2433,7.770677419,4.2725,0.8635
2016-09,71.705,7.8504,30.5095,20.1289,8.393766667,4.1241,0.5588
2016-10,71.424,7.277,23.9934,20.0877,12.22006452,4.193,0.0968
2016-11,72.02,7.3955,22.0682,21.804,22.01153333,4.0126,1.0992
2016-12,71.2089,8.7692,21.6383,23.6837,40.54358065,3.6069,1.3492
2017-01,70.5628,8.9866,21.2782,23.6843,42.26735484,3.8642,1.6562
2017-02,71.5498,8.7864,20.3136,23.2075,33.53192857,4.0489,1.8586
2017-03,73.1679,8.8895,21.6831,22.4619,30.69706452,4.1887,1.4049
2017-04,73.2578,7.7666,20.9016,21.0541,16.36476667,3.7067,1.689
2017-05,73.2565,7.7017,22.5825,20.2712,12.19316129,4.0037,1.9607
2017-06,73.9667,7.802,28.3678,20.4765,8.736533333,4.4706,1.7487
2017-07,74.7295,7.9101,34.8976,20.1128,7.777225806,4.3691,1.7288
2017-08,74.6875,7.7398,32.9684,20.5463,7.776225806,4.3708,1.4667
2017-09,75.9937,7.5567,28.642,20.5048,8.644533333,4.1518,1.8244
2017-10,77.344,7.7025,24.9207,21.1793,13.08935484,4.2398,2.5869
2017-11,79.7512,7.7943,22.2052,23.1842,26.3387,4.4583,2.67
2017-12,80.3843,8.4864,25.3235,24.5384,42.216,4.4064,2.6646
2018-01,78.744,9.132,25.3549,25.2325,49.52406452,4.4077,2.3375
2018-02,80.3895,8.2076,24.6436,24.9681,39.78892857,4.4867,2.6316
2018-03,81.3275,8.5203,24.4041,23.802,34.75267742,4.2661,2.953
2018-04,81.1894,7.9676,23.464,23.2446,24.7563,4.3529,2.8561
2018-05,82.1229,7.2354,27.3576,21.6362,10.73441935,4.4387,3.058
2018-06,82.5385,7.5099,31.7518,21.6368,8.7215,4.5818,2.4512
2018-07,84.1824,7.7555,39.4682,21.5403,7.854580645,4.8663,3.169
2018-08,85.8802,7.4518,38.2429,21.5456,7.830870968,4.9752,2.9525
