Date,Location,max_lmp
2017-01-01,LZ_SOUTH,45.17
2017-01-02,LZ_SOUTH,50.78
2017-01-03,LZ_SOUTH,42.19
2017-01-04,LZ_SOUTH,44.51
2017-01-05,LZ_SOUTH,35.46
2017-01-06,LZ_SOUTH,64.68
2017-01-07,LZ_SOUTH,142.48
2017-01-08,LZ_SOUTH,89.22
2017-01-09,LZ_SOUTH,39.59
2017-01-10,LZ_SOUTH,45.74
2017-01-11,LZ_SOUTH,34.69
2017-01-12,LZ_SOUTH,44.15
2017-01-13,LZ_SOUTH,38.1
2017-01-14,LZ_SOUTH,36.89
2017-01-15,LZ_SOUTH,33.69
2017-01-16,LZ_SOUTH,49.11
2017-01-17,LZ_SOUTH,42.12
2017-01-18,LZ_SOUTH,46.2
2017-01-19,LZ_SOUTH,41.78
2017-01-20,LZ_SOUTH,39.62
2017-01-21,LZ_SOUTH,33.11
2017-01-22,LZ_SOUTH,35.03
2017-01-23,LZ_SOUTH,43.02
2017-01-24,LZ_SOUTH,40.02
2017-01-25,LZ_SOUTH,39.32
2017-01-26,LZ_SOUTH,43.4
2017-01-27,LZ_SOUTH,44.34
2017-01-28,LZ_SOUTH,31.17
2017-01-29,LZ_SOUTH,34.93
2017-01-30,LZ_SOUTH,39.73
2017-01-31,LZ_SOUTH,34.04
2017-02-01,LZ_SOUTH,34.12
2017-02-02,LZ_SOUTH,38.17
2017-02-03,LZ_SOUTH,45.53
2017-02-04,LZ_SOUTH,39.43
2017-02-05,LZ_SOUTH,31.48
2017-02-06,LZ_SOUTH,40.42
2017-02-07,LZ_SOUTH,46.33
2017-02-08,LZ_SOUTH,51.39
2017-02-09,LZ_SOUTH,40.76
2017-02-10,LZ_SOUTH,28.82
2017-02-11,LZ_SOUTH,37.91
2017-02-12,LZ_SOUTH,40.33
2017-02-13,LZ_SOUTH,29.11
2017-02-14,LZ_SOUTH,41.29
2017-02-15,LZ_SOUTH,34.16
2017-02-16,LZ_SOUTH,41.02
2017-02-17,LZ_SOUTH,25.92
2017-02-18,LZ_SOUTH,36.83
2017-02-19,LZ_SOUTH,31.22
2017-02-20,LZ_SOUTH,51.91
2017-02-21,LZ_SOUTH,54.63
2017-02-22,LZ_SOUTH,47.09
2017-02-23,LZ_SOUTH,35.36
2017-02-24,LZ_SOUTH,35.86
2017-02-25,LZ_SOUTH,34.33
2017-02-26,LZ_SOUTH,21.18
2017-02-27,LZ_SOUTH,36.15
2017-02-28,LZ_SOUTH,40.87
2017-03-01,LZ_SOUTH,48.68
2017-03-02,LZ_SOUTH,36.81
2017-03-03,LZ_SOUTH,35.17
2017-03-04,LZ_SOUTH,23.51
2017-03-05,LZ_SOUTH,29.22
2017-03-06,LZ_SOUTH,41.7
2017-03-07,LZ_SOUTH,58.55
2017-03-08,LZ_SOUTH,56.16
2017-03-09,LZ_SOUTH,51.43
2017-03-10,LZ_SOUTH,44.53
2017-03-11,LZ_SOUTH,44.27
2017-03-12,LZ_SOUTH,34.26
2017-03-13,LZ_SOUTH,32.61
2017-03-14,LZ_SOUTH,45.02
2017-03-15,LZ_SOUTH,36.81
2017-03-16,LZ_SOUTH,25.89
2017-03-17,LZ_SOUTH,38.75
2017-03-18,LZ_SOUTH,46.78
2017-03-19,LZ_SOUTH,45.06
2017-03-20,LZ_SOUTH,63.4
2017-03-21,LZ_SOUTH,77.21
2017-03-22,LZ_SOUTH,61.0
2017-03-23,LZ_SOUTH,41.56
2017-03-24,LZ_SOUTH,42.88
2017-03-25,LZ_SOUTH,73.86
2017-03-26,LZ_SOUTH,50.18
2017-03-27,LZ_SOUTH,94.55
2017-03-28,LZ_SOUTH,63.32
2017-03-29,LZ_SOUTH,59.02
2017-03-30,LZ_SOUTH,51.01
2017-03-31,LZ_SOUTH,48.99
2017-04-01,LZ_SOUTH,52.6
2017-04-02,LZ_SOUTH,38.91
2017-04-03,LZ_SOUTH,119.88
2017-04-04,LZ_SOUTH,83.13
2017-04-05,LZ_SOUTH,39.3
2017-04-06,LZ_SOUTH,51.13
2017-04-07,LZ_SOUTH,46.69
2017-04-08,LZ_SOUTH,49.12
2017-04-09,LZ_SOUTH,42.39
2017-04-10,LZ_SOUTH,52.39
2017-04-11,LZ_SOUTH,41.03
2017-04-12,LZ_SOUTH,36.67
2017-04-13,LZ_SOUTH,41.3
2017-04-14,LZ_SOUTH,36.0
2017-04-15,LZ_SOUTH,39.47
2017-04-16,LZ_SOUTH,42.08
2017-04-17,LZ_SOUTH,48.63
2017-04-18,LZ_SOUTH,54.61
2017-04-19,LZ_SOUTH,46.05
2017-04-20,LZ_SOUTH,66.24
2017-04-21,LZ_SOUTH,53.03
2017-04-22,LZ_SOUTH,33.81
2017-04-23,LZ_SOUTH,29.88
2017-04-24,LZ_SOUTH,42.2
2017-04-25,LZ_SOUTH,59.24
2017-04-26,LZ_SOUTH,100.66
2017-04-27,LZ_SOUTH,57.15
2017-04-28,LZ_SOUTH,90.62
2017-04-29,LZ_SOUTH,69.94
2017-04-30,LZ_SOUTH,38.78
2017-05-01,LZ_SOUTH,57.55
2017-05-02,LZ_SOUTH,56.46
2017-05-03,LZ_SOUTH,55.85
2017-05-04,LZ_SOUTH,36.67
2017-05-05,LZ_SOUTH,60.81
2017-05-06,LZ_SOUTH,62.9
2017-05-07,LZ_SOUTH,56.84
2017-05-08,LZ_SOUTH,61.61
2017-05-09,LZ_SOUTH,54.32
2017-05-10,LZ_SOUTH,45.82
2017-05-11,LZ_SOUTH,62.72
2017-05-12,LZ_SOUTH,87.52
2017-05-13,LZ_SOUTH,75.0
2017-05-14,LZ_SOUTH,55.82
2017-05-15,LZ_SOUTH,62.68
2017-05-16,LZ_SOUTH,54.88
2017-05-17,LZ_SOUTH,72.6
2017-05-18,LZ_SOUTH,70.63
2017-05-19,LZ_SOUTH,62.23
2017-05-20,LZ_SOUTH,56.49
2017-05-21,LZ_SOUTH,48.7
2017-05-22,LZ_SOUTH,57.69
2017-05-23,LZ_SOUTH,57.9
2017-05-24,LZ_SOUTH,48.56
2017-05-25,LZ_SOUTH,66.36
2017-05-26,LZ_SOUTH,94.72
2017-05-27,LZ_SOUTH,76.42
2017-05-28,LZ_SOUTH,58.77
2017-05-29,LZ_SOUTH,41.48
2017-05-30,LZ_SOUTH,54.45
2017-05-31,LZ_SOUTH,54.36
2017-06-01,LZ_SOUTH,57.43
2017-06-02,LZ_SOUTH,62.88
2017-06-03,LZ_SOUTH,65.0
2017-06-04,LZ_SOUTH,55.0
2017-06-05,LZ_SOUTH,74.08
2017-06-06,LZ_SOUTH,74.07
2017-06-07,LZ_SOUTH,98.75
2017-06-08,LZ_SOUTH,93.69
2017-06-09,LZ_SOUTH,84.35
2017-06-10,LZ_SOUTH,75.55
2017-06-11,LZ_SOUTH,54.74
2017-06-12,LZ_SOUTH,88.0
2017-06-13,LZ_SOUTH,80.59
2017-06-14,LZ_SOUTH,104.29
2017-06-15,LZ_SOUTH,123.23
2017-06-16,LZ_SOUTH,118.57
2017-06-17,LZ_SOUTH,111.55
2017-06-18,LZ_SOUTH,111.55
2017-06-19,LZ_SOUTH,137.03
2017-06-20,LZ_SOUTH,107.17
2017-06-21,LZ_SOUTH,111.55
2017-06-22,LZ_SOUTH,141.04
2017-06-23,LZ_SOUTH,150.0
2017-06-24,LZ_SOUTH,64.03
2017-06-25,LZ_SOUTH,61.79
2017-06-26,LZ_SOUTH,62.95
2017-06-27,LZ_SOUTH,53.11
2017-06-28,LZ_SOUTH,51.96
2017-06-29,LZ_SOUTH,63.91
2017-06-30,LZ_SOUTH,82.79
2017-07-01,LZ_SOUTH,83.49
2017-07-02,LZ_SOUTH,86.41
2017-07-03,LZ_SOUTH,68.47
2017-07-04,LZ_SOUTH,73.19
2017-07-05,LZ_SOUTH,92.22
2017-07-06,LZ_SOUTH,93.28
2017-07-07,LZ_SOUTH,93.4
2017-07-08,LZ_SOUTH,82.18
2017-07-09,LZ_SOUTH,76.55
2017-07-10,LZ_SOUTH,74.78
2017-07-11,LZ_SOUTH,52.91
2017-07-12,LZ_SOUTH,60.04
2017-07-13,LZ_SOUTH,71.89
2017-07-14,LZ_SOUTH,85.7
2017-07-15,LZ_SOUTH,70.74
2017-07-16,LZ_SOUTH,59.33
2017-07-17,LZ_SOUTH,56.69
2017-07-18,LZ_SOUTH,64.85
2017-07-19,LZ_SOUTH,75.52
2017-07-20,LZ_SOUTH,91.39
2017-07-21,LZ_SOUTH,72.41
2017-07-22,LZ_SOUTH,68.84
2017-07-23,LZ_SOUTH,72.99
2017-07-24,LZ_SOUTH,72.9
2017-07-25,LZ_SOUTH,64.02
2017-07-26,LZ_SOUTH,55.55
2017-07-27,LZ_SOUTH,83.44
2017-07-28,LZ_SOUTH,276.3
2017-07-29,LZ_SOUTH,126.47
2017-07-30,LZ_SOUTH,85.66
2017-07-31,LZ_SOUTH,83.7
2017-08-01,LZ_SOUTH,62.21
2017-08-02,LZ_SOUTH,58.69
2017-08-03,LZ_SOUTH,66.67
2017-08-04,LZ_SOUTH,68.37
2017-08-05,LZ_SOUTH,52.14
2017-08-06,LZ_SOUTH,62.21
2017-08-07,LZ_SOUTH,49.15
2017-08-08,LZ_SOUTH,50.11
2017-08-09,LZ_SOUTH,61.14
2017-08-10,LZ_SOUTH,65.91
2017-08-11,LZ_SOUTH,99.27
2017-08-12,LZ_SOUTH,67.24
2017-08-13,LZ_SOUTH,66.05
2017-08-14,LZ_SOUTH,67.84
2017-08-15,LZ_SOUTH,56.38
2017-08-16,LZ_SOUTH,61.98
2017-08-17,LZ_SOUTH,76.51
2017-08-18,LZ_SOUTH,102.38
2017-08-19,LZ_SOUTH,79.55
2017-08-20,LZ_SOUTH,66.77
2017-08-21,LZ_SOUTH,56.82
2017-08-22,LZ_SOUTH,76.63
2017-08-23,LZ_SOUTH,68.62
2017-08-24,LZ_SOUTH,49.9
2017-08-25,LZ_SOUTH,41.61
2017-08-26,LZ_SOUTH,33.56
2017-08-27,LZ_SOUTH,59.49
2017-08-28,LZ_SOUTH,139.11
2017-08-29,LZ_SOUTH,129.12
2017-08-30,LZ_SOUTH,86.77
2017-08-31,LZ_SOUTH,99.87
2017-09-01,LZ_SOUTH,84.54
2017-09-02,LZ_SOUTH,64.48
2017-09-03,LZ_SOUTH,64.21
2017-09-04,LZ_SOUTH,61.66
2017-09-05,LZ_SOUTH,72.55
2017-09-06,LZ_SOUTH,51.69
2017-09-07,LZ_SOUTH,42.05
2017-09-08,LZ_SOUTH,39.2
2017-09-09,LZ_SOUTH,38.6
2017-09-10,LZ_SOUTH,37.63
2017-09-11,LZ_SOUTH,46.42
2017-09-12,LZ_SOUTH,49.64
2017-09-13,LZ_SOUTH,60.63
2017-09-14,LZ_SOUTH,51.21
2017-09-15,LZ_SOUTH,46.72
2017-09-16,LZ_SOUTH,50.19
2017-09-17,LZ_SOUTH,58.18
2017-09-18,LZ_SOUTH,59.24
2017-09-19,LZ_SOUTH,53.43
2017-09-20,LZ_SOUTH,58.55
2017-09-21,LZ_SOUTH,49.08
2017-09-22,LZ_SOUTH,44.91
2017-09-23,LZ_SOUTH,41.84
2017-09-24,LZ_SOUTH,45.38
2017-09-25,LZ_SOUTH,47.59
2017-09-26,LZ_SOUTH,49.46
2017-09-27,LZ_SOUTH,48.35
2017-09-28,LZ_SOUTH,50.51
2017-09-29,LZ_SOUTH,46.61
2017-09-30,LZ_SOUTH,49.17
2017-10-01,LZ_SOUTH,55.4
2017-10-02,LZ_SOUTH,62.29
2017-10-03,LZ_SOUTH,57.05
2017-10-04,LZ_SOUTH,92.0
2017-10-05,LZ_SOUTH,86.15
2017-10-06,LZ_SOUTH,73.28
2017-10-07,LZ_SOUTH,75.73
2017-10-08,LZ_SOUTH,74.47
2017-10-09,LZ_SOUTH,129.79
2017-10-10,LZ_SOUTH,46.86
2017-10-11,LZ_SOUTH,43.85
2017-10-12,LZ_SOUTH,84.77
2017-10-13,LZ_SOUTH,91.63
2017-10-14,LZ_SOUTH,74.01
2017-10-15,LZ_SOUTH,42.06
2017-10-16,LZ_SOUTH,35.75
2017-10-17,LZ_SOUTH,36.37
2017-10-18,LZ_SOUTH,42.16
2017-10-19,LZ_SOUTH,44.02
2017-10-20,LZ_SOUTH,40.18
2017-10-21,LZ_SOUTH,53.64
2017-10-22,LZ_SOUTH,39.95
2017-10-23,LZ_SOUTH,46.37
2017-10-24,LZ_SOUTH,38.19
2017-10-25,LZ_SOUTH,37.27
2017-10-26,LZ_SOUTH,31.85
2017-10-27,LZ_SOUTH,35.4
2017-10-28,LZ_SOUTH,39.22
2017-10-29,LZ_SOUTH,36.7
2017-10-30,LZ_SOUTH,31.96
2017-10-31,LZ_SOUTH,39.56
2017-11-01,LZ_SOUTH,39.11
2017-11-02,LZ_SOUTH,79.59
2017-11-03,LZ_SOUTH,94.66
2017-11-04,LZ_SOUTH,54.81
2017-11-05,LZ_SOUTH,68.1
2017-11-06,LZ_SOUTH,109.23
2017-11-07,LZ_SOUTH,67.85
2017-11-08,LZ_SOUTH,45.41
2017-11-09,LZ_SOUTH,46.3
2017-11-10,LZ_SOUTH,45.2
2017-11-11,LZ_SOUTH,34.81
2017-11-12,LZ_SOUTH,48.41
2017-11-13,LZ_SOUTH,52.3
2017-11-14,LZ_SOUTH,39.93
2017-11-15,LZ_SOUTH,53.69
2017-11-16,LZ_SOUTH,44.76
2017-11-17,LZ_SOUTH,39.8
2017-11-18,LZ_SOUTH,41.46
2017-11-19,LZ_SOUTH,35.14
2017-11-20,LZ_SOUTH,36.23
2017-11-21,LZ_SOUTH,47.71
2017-11-22,LZ_SOUTH,44.98
2017-11-23,LZ_SOUTH,38.28
2017-11-24,LZ_SOUTH,36.96
2017-11-25,LZ_SOUTH,39.55
2017-11-26,LZ_SOUTH,46.39
2017-11-27,LZ_SOUTH,43.56
2017-11-28,LZ_SOUTH,43.19
2017-11-29,LZ_SOUTH,53.14
2017-11-30,LZ_SOUTH,52.08
2017-12-01,LZ_SOUTH,48.73
2017-12-02,LZ_SOUTH,47.86
2017-12-03,LZ_SOUTH,31.0
2017-12-04,LZ_SOUTH,41.07
2017-12-05,LZ_SOUTH,38.2
2017-12-06,LZ_SOUTH,47.19
2017-12-07,LZ_SOUTH,48.61
2017-12-08,LZ_SOUTH,99.02
2017-12-09,LZ_SOUTH,46.29
2017-12-10,LZ_SOUTH,33.18
2017-12-11,LZ_SOUTH,45.07
2017-12-12,LZ_SOUTH,37.7
2017-12-13,LZ_SOUTH,47.44
2017-12-14,LZ_SOUTH,39.51
2017-12-15,LZ_SOUTH,37.33
2017-12-16,LZ_SOUTH,33.23
2017-12-17,LZ_SOUTH,40.11
2017-12-18,LZ_SOUTH,43.71
2017-12-19,LZ_SOUTH,38.59
2017-12-20,LZ_SOUTH,33.81
2017-12-21,LZ_SOUTH,42.98
2017-12-22,LZ_SOUTH,46.98
2017-12-23,LZ_SOUTH,33.52
2017-12-24,LZ_SOUTH,29.23
2017-12-25,LZ_SOUTH,32.12
2017-12-26,LZ_SOUTH,38.13
2017-12-27,LZ_SOUTH,35.08
2017-12-28,LZ_SOUTH,43.46
2017-12-29,LZ_SOUTH,47.35
2017-12-30,LZ_SOUTH,34.19
2017-12-31,LZ_SOUTH,35.35
2018-01-01,LZ_SOUTH,93.1
2018-01-02,LZ_SOUTH,251.59
2018-01-03,LZ_SOUTH,173.36
2018-01-04,LZ_SOUTH,126.02
2018-01-05,LZ_SOUTH,69.61
2018-01-06,LZ_SOUTH,43.19
2018-01-07,LZ_SOUTH,24.37
2018-01-08,LZ_SOUTH,36.54
2018-01-09,LZ_SOUTH,41.13
2018-01-10,LZ_SOUTH,37.52
2018-01-11,LZ_SOUTH,33.74
2018-01-12,LZ_SOUTH,66.43
2018-01-13,LZ_SOUTH,58.73
2018-01-14,LZ_SOUTH,47.51
2018-01-15,LZ_SOUTH,41.49
2018-01-16,LZ_SOUTH,175.57
2018-01-17,LZ_SOUTH,1709.82
2018-01-18,LZ_SOUTH,341.08
2018-01-19,LZ_SOUTH,84.92
2018-01-20,LZ_SOUTH,41.37
2018-01-21,LZ_SOUTH,30.86
2018-01-22,LZ_SOUTH,37.97
2018-01-23,LZ_SOUTH,52.57
2018-01-24,LZ_SOUTH,69.16
2018-01-25,LZ_SOUTH,49.57
2018-01-26,LZ_SOUTH,41.02
2018-01-27,LZ_SOUTH,43.05
2018-01-28,LZ_SOUTH,48.43
2018-01-29,LZ_SOUTH,58.25
2018-01-30,LZ_SOUTH,57.36
2018-01-31,LZ_SOUTH,49.99
2018-02-01,LZ_SOUTH,38.13
2018-02-02,LZ_SOUTH,46.69
2018-02-03,LZ_SOUTH,35.92
2018-02-04,LZ_SOUTH,35.75
2018-02-05,LZ_SOUTH,33.8
2018-02-06,LZ_SOUTH,40.64
2018-02-07,LZ_SOUTH,50.64
2018-02-08,LZ_SOUTH,77.02
2018-02-09,LZ_SOUTH,44.38
2018-02-10,LZ_SOUTH,28.53
2018-02-11,LZ_SOUTH,55.3
2018-02-12,LZ_SOUTH,79.89
2018-02-13,LZ_SOUTH,60.73
2018-02-14,LZ_SOUTH,53.79
2018-02-15,LZ_SOUTH,46.94
2018-02-16,LZ_SOUTH,47.19
2018-02-17,LZ_SOUTH,49.4
2018-02-18,LZ_SOUTH,36.17
2018-02-19,LZ_SOUTH,25.3
2018-02-20,LZ_SOUTH,34.0
2018-02-21,LZ_SOUTH,44.64
2018-02-22,LZ_SOUTH,62.41
2018-02-23,LZ_SOUTH,49.55
2018-02-24,LZ_SOUTH,33.15
2018-02-25,LZ_SOUTH,40.16
2018-02-26,LZ_SOUTH,55.36
2018-02-27,LZ_SOUTH,27.73
2018-02-28,LZ_SOUTH,42.04
2018-03-01,LZ_SOUTH,40.43
2018-03-02,LZ_SOUTH,48.57
2018-03-03,LZ_SOUTH,26.7
2018-03-04,LZ_SOUTH,28.17
2018-03-05,LZ_SOUTH,42.07
2018-03-06,LZ_SOUTH,72.4
2018-03-07,LZ_SOUTH,71.77
2018-03-08,LZ_SOUTH,49.02
2018-03-09,LZ_SOUTH,32.04
2018-03-10,LZ_SOUTH,65.87
2018-03-11,LZ_SOUTH,53.02
2018-03-12,LZ_SOUTH,44.62
2018-03-13,LZ_SOUTH,57.17
2018-03-14,LZ_SOUTH,48.21
2018-03-15,LZ_SOUTH,31.1
2018-03-16,LZ_SOUTH,70.72
2018-03-17,LZ_SOUTH,76.2
2018-03-18,LZ_SOUTH,61.87
2018-03-19,LZ_SOUTH,63.28
2018-03-20,LZ_SOUTH,41.67
2018-03-21,LZ_SOUTH,46.22
2018-03-22,LZ_SOUTH,36.66
2018-03-23,LZ_SOUTH,44.07
2018-03-24,LZ_SOUTH,68.98
2018-03-25,LZ_SOUTH,62.09
2018-03-26,LZ_SOUTH,45.33
2018-03-27,LZ_SOUTH,50.74
2018-03-28,LZ_SOUTH,40.46
2018-03-29,LZ_SOUTH,60.0
2018-03-30,LZ_SOUTH,44.54
2018-03-31,LZ_SOUTH,41.12
2018-04-01,LZ_SOUTH,47.12
2018-04-02,LZ_SOUTH,38.43
2018-04-03,LZ_SOUTH,43.38
2018-04-04,LZ_SOUTH,45.32
2018-04-05,LZ_SOUTH,47.37
2018-04-06,LZ_SOUTH,57.92
2018-04-07,LZ_SOUTH,41.94
2018-04-08,LZ_SOUTH,53.2
2018-04-09,LZ_SOUTH,60.78
2018-04-10,LZ_SOUTH,48.47
2018-04-11,LZ_SOUTH,43.71
2018-04-12,LZ_SOUTH,41.27
2018-04-13,LZ_SOUTH,63.43
2018-04-14,LZ_SOUTH,41.87
2018-04-15,LZ_SOUTH,46.43
