Date,item,value,region
01/01/2015,CONUS - Balance,-31716.43195,Conus
01/02/2015,CONUS - Balance,-21141.911030000003,Conus
01/03/2015,CONUS - Balance,-5381.152750000008,Conus
01/04/2015,CONUS - Balance,-8300.217039999989,Conus
01/05/2015,CONUS - Balance,-24334.287129999997,Conus
01/06/2015,CONUS - Balance,-25467.830350000004,Conus
01/07/2015,CONUS - Balance,-42560.06152999999,Conus
01/08/2015,CONUS - Balance,-53445.799750000006,Conus
01/09/2015,CONUS - Balance,-33479.57734,Conus
01/10/2015,CONUS - Balance,-40399.231629999995,Conus
01/11/2015,CONUS - Balance,-19981.17205000001,Conus
01/12/2015,CONUS - Balance,-17860.962530000004,Conus
01/13/2015,CONUS - Balance,-31758.369719999988,Conus
01/14/2015,CONUS - Balance,-34862.216440000004,Conus
01/15/2015,CONUS - Balance,-19303.45413,Conus
01/16/2015,CONUS - Balance,-11943.028839999999,Conus
01/17/2015,CONUS - Balance,-9038.393030000007,Conus
01/18/2015,CONUS - Balance,255.91607999999542,Conus
01/19/2015,CONUS - Balance,-3133.7264399999985,Conus
01/20/2015,CONUS - Balance,-4636.106630000009,Conus
01/21/2015,CONUS - Balance,-11180.045339999982,Conus
01/22/2015,CONUS - Balance,-13754.076529999991,Conus
01/23/2015,CONUS - Balance,-15797.208419999995,Conus
01/24/2015,CONUS - Balance,-3046.8224400000036,Conus
01/25/2015,CONUS - Balance,-2145.361730000004,Conus
01/26/2015,CONUS - Balance,-12188.146299999993,Conus
01/27/2015,CONUS - Balance,-11610.829530000003,Conus
01/28/2015,CONUS - Balance,-10934.092919999996,Conus
01/29/2015,CONUS - Balance,-5914.596940000003,Conus
01/30/2015,CONUS - Balance,-14392.803329999995,Conus
01/31/2015,CONUS - Balance,-12458.446299999996,Conus
02/01/2015,CONUS - Balance,-5586.848039999997,Conus
02/02/2015,CONUS - Balance,-22761.24243,Conus
02/03/2015,CONUS - Balance,-23279.42916,Conus
02/04/2015,CONUS - Balance,-11113.2157,Conus
02/05/2015,CONUS - Balance,-25021.645579999997,Conus
02/06/2015,CONUS - Balance,-17738.798599999995,Conus
02/07/2015,CONUS - Balance,-261.5920000000042,Conus
02/08/2015,CONUS - Balance,8157.421969999996,Conus
02/09/2015,CONUS - Balance,-4647.857749999996,Conus
02/10/2015,CONUS - Balance,-7224.710049999994,Conus
02/11/2015,CONUS - Balance,-8532.780869999988,Conus
02/12/2015,CONUS - Balance,-19998.07647,Conus
02/13/2015,CONUS - Balance,-28619.1532,Conus
02/14/2015,CONUS - Balance,-5062.194319999995,Conus
02/15/2015,CONUS - Balance,-23970.856599999985,Conus
02/16/2015,CONUS - Balance,-31062.04044000001,Conus
02/17/2015,CONUS - Balance,-25148.04724,Conus
02/18/2015,CONUS - Balance,-25896.162159999993,Conus
02/19/2015,CONUS - Balance,-38698.053360000005,Conus
02/20/2015,CONUS - Balance,-33030.324080000006,Conus
02/21/2015,CONUS - Balance,-7210.970300000001,Conus
02/22/2015,CONUS - Balance,-7717.079600000012,Conus
02/23/2015,CONUS - Balance,-39359.82733,Conus
02/24/2015,CONUS - Balance,-38016.21402,Conus
02/25/2015,CONUS - Balance,-17598.830950000003,Conus
02/26/2015,CONUS - Balance,-28545.929869999993,Conus
02/27/2015,CONUS - Balance,-37739.35356999999,Conus
02/28/2015,CONUS - Balance,-34506.230899999995,Conus
03/01/2015,CONUS - Balance,-20140.31330000001,Conus
03/02/2015,CONUS - Balance,-13669.936350000004,Conus
03/03/2015,CONUS - Balance,-7194.9969599999895,Conus
03/04/2015,CONUS - Balance,-7643.0234000000055,Conus
