settlement_month,settlement_year,market_component,settlement,settlement_basis
January,2015,AB Pool (inter),,
January,2015,AB Pool (intra),,
January,2015,AGT-CG,,
January,2015,AGT-CG (non-G),10.12,6.93
January,2015,Agua Dulce Hub,,
January,2015,ANR-Joliet Hub,,
January,2015,ANR-SE,,
January,2015,ANR-SE-T,3.11,-0.08
January,2015,ANR-SW,3.17,-0.02
January,2015,APC-ACE,,
January,2015,APC-ANR,,
January,2015,APC-MGTC,,
January,2015,APC-NGPL,,
January,2015,APC-Nicor,,
January,2015,APC-VPC,,
January,2015,Arena WTX Pool,,
January,2015,Atmos Zone 3,,
January,2015,Banquete Hub,,
January,2015,Bay Gas Storage,,
January,2015,Bennington,,
January,2015,Beverly Salem,,
January,2015,Bluewater Hub,,
January,2015,Bobcat Inter,,
January,2015,Bobcat Stor,,
January,2015,Carthage,,
January,2015,CG-Mainline,3.09,-0.1
January,2015,CG-Onshore,3.12,-0.07
January,2015,Cheyenne,3.22,0.03
January,2015,Chicago,3.61,0.42
January,2015,CIG-Mainline,3.06,-0.13
January,2015,CIG-Mainline Pool,,
January,2015,CIG-Mainline South,,
January,2015,Clarington,,
January,2015,Clarington-Tenn,,
January,2015,Consumers,3.55,0.36
January,2015,Cove Point,,
January,2015,Dracut,,
January,2015,Eastern Gas-North,,
January,2015,Eastern Gas-South,,
January,2015,Egan Inter,,
January,2015,Egan Stor,,
January,2015,EGT-Flex,,
January,2015,EGT-North,,
January,2015,EGT-Perryville Hub,3.03,-0.16
January,2015,EGT-South,,
January,2015,EGT-West,,
January,2015,Enable East Pool,,
January,2015,Enable West Pool ,,
January,2015,ENT-STX Map,,
January,2015,EP-Anadarko,,
January,2015,EP-Keystone,,
January,2015,EP-Plains Pool,,
January,2015,EP-S.Mainline,,
January,2015,EP-SJ Blanco Pool,3.1,-0.09
January,2015,EP-SJ Bondad Stn,,
January,2015,EP-Waha Pool,,
January,2015,ETC-Cleburne,,
January,2015,ETC-Maypearl,,
January,2015,ETC-Tiger Gas (receipt),,
January,2015,FGT-CG,,
