Date,Value,Item
2025-07-25,2457920.3625000007,CAISO - ForecastLoad
2025-07-25,4242413.166198731,ERCOT - ForecastLoad
2025-07-26,18319576.64971924,ERCOT - ForecastLoad
2025-07-27,18355161.63723755,ERCOT - ForecastLoad
2025-07-28,19289053.33139038,ERCOT - ForecastLoad
2025-07-29,19481544.97454834,ERCOT - ForecastLoad
2025-07-30,19850692.63925171,ERCOT - ForecastLoad
2025-07-31,20068547.43713379,ERCOT - ForecastLoad
2025-08-01,19898460.05557251,ERCOT - ForecastLoad
2025-07-25,927977.5,ISONE - ForecastLoad
2025-07-26,4288120.0,ISONE - ForecastLoad
2025-07-25,5848853.0,MISO - ForecastLoad
2025-07-26,26085383.0,MISO - ForecastLoad
2025-07-27,26611049.0,MISO - ForecastLoad
2025-07-28,29177634.0,MISO - ForecastLoad
2025-07-29,29070677.0,MISO - ForecastLoad
2025-07-30,31758326.0,MISO - ForecastLoad
2025-07-25,1173135.5,NYISO - ForecastLoad
2025-07-26,6210274.0,NYISO - ForecastLoad
2025-07-27,5885011.0,NYISO - ForecastLoad
2025-07-28,6694150.0,NYISO - ForecastLoad
2025-07-29,7037463.0,NYISO - ForecastLoad
2025-07-30,6712629.5,NYISO - ForecastLoad
2025-07-31,5794330.0,NYISO - ForecastLoad
2025-07-25,6112270.75,PJM - ForecastLoad
2025-07-26,33277703.75,PJM - ForecastLoad
2025-07-27,32333421.5,PJM - ForecastLoad
2025-07-28,35824577.75,PJM - ForecastLoad
2025-07-29,36795378.75,PJM - ForecastLoad
2025-07-30,35835643.5,PJM - ForecastLoad
2025-07-31,31933518.75,PJM - ForecastLoad
2025-07-25,2657716.5879999995,SPP - ForecastLoad
2025-07-26,11831527.604,SPP - ForecastLoad
2025-07-27,11999356.709,SPP - ForecastLoad
2025-07-28,12820196.156,SPP - ForecastLoad
2025-07-29,12851526.6965,SPP - ForecastLoad
2025-07-30,12344704.480500001,SPP - ForecastLoad
2025-07-31,11640565.8285,SPP - ForecastLoad
2025-08-01,3201582.6125000003,SPP - ForecastLoad
