Date,Value,Item
2025-06-30,2813716.0,CAISO - TotalLoad
2025-07-01,7976415.0,CAISO - TotalLoad
2025-07-02,7777665.0,CAISO - TotalLoad
2025-07-03,7703031.0,CAISO - TotalLoad
2025-07-04,6909611.0,CAISO - TotalLoad
2025-07-05,6851380.0,CAISO - TotalLoad
2025-07-06,6859664.0,CAISO - TotalLoad
2025-07-07,7707292.0,CAISO - TotalLoad
2025-07-08,7930548.0,CAISO - TotalLoad
2025-07-09,8249972.0,CAISO - TotalLoad
2025-07-10,8623858.0,CAISO - TotalLoad
2025-07-11,8597957.0,CAISO - TotalLoad
2025-07-12,7811648.0,CAISO - TotalLoad
2025-07-13,7498752.0,CAISO - TotalLoad
2025-07-14,8320576.0,CAISO - TotalLoad
2025-07-15,8123221.0,CAISO - TotalLoad
2025-07-16,7852898.0,CAISO - TotalLoad
2025-07-17,7974633.0,CAISO - TotalLoad
2025-07-18,7970791.0,CAISO - TotalLoad
2025-07-19,7395898.0,CAISO - TotalLoad
2025-07-20,7035615.0,CAISO - TotalLoad
2025-07-21,7524293.0,CAISO - TotalLoad
2025-07-22,7523277.0,CAISO - TotalLoad
2025-07-23,7573127.0,CAISO - TotalLoad
2025-07-24,7537105.0,CAISO - TotalLoad
2025-07-25,1604085.0,CAISO - TotalLoad
2025-07-01,1502827.247275,ERCOT - TotalLoad
2025-07-02,1533782.7533749999,ERCOT - TotalLoad
2025-07-03,1452513.138425,ERCOT - TotalLoad
2025-07-04,1406288.478775,ERCOT - TotalLoad
2025-07-05,1391427.249375,ERCOT - TotalLoad
2025-07-06,1423949.0382249998,ERCOT - TotalLoad
2025-07-07,1520002.1882,ERCOT - TotalLoad
2025-07-08,1511232.79335,ERCOT - TotalLoad
2025-07-09,1485887.4329749998,ERCOT - TotalLoad
2025-07-10,1542190.2527,ERCOT - TotalLoad
2025-07-11,1561462.9978,ERCOT - TotalLoad
2025-07-12,1518571.899825,ERCOT - TotalLoad
2025-07-13,1447462.071375,ERCOT - TotalLoad
2025-07-14,1520169.2194499997,ERCOT - TotalLoad
