Market Component,Bid,Ask,Prev. Settle,Symbol
AGT-CG,5.0500,5.5000,5.2195,ALQ X25SR:ALQH26-IUS
AGT-CG (non-G),5.0500,5.5000,5.2195,ALQ X25SR:ALQH26-IUS
ANR-Joliet Hub,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
ANR-SE,-0.0650,0.0500,0.0018,CGM X25SR:CGMH26-IUS
ANR-SE-T,-0.0650,0.0500,0.0018,CGM X25SR:CGMH26-IUS
ANR-SW,,0.1100,0.0325,ANO X25SR:ANOH26-IUS
APC-ACE,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
APC-ANR,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
APC-MGTC,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
APC-NGPL,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
APC-Nicor,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
APC-VPC,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
Atmos Zone 3,-1.9800,-1.9300,-1.9294,WAH X25SR:WAHH26-IUS
Beverly Salem,0.9700,1.0500,1.0309,TMT X25SR:TMTH26-IUS
Bluewater Hub,-0.4500,-0.4350,-0.4359,NMC X25SR:NMCH26-IUS
Carthage,-0.3200,-0.3100,-0.3100,HXS X25SR:HXSH26-IUS
CG-Mainline,-0.1850,-0.1775,-0.1828,CGB X25SR:CGBH26-IUS
CG-Onshore,-0.0400,0.0000,-0.0168,CON X25SR:CONH26-IUS
Cheyenne,0.0100,0.0400,0.0303,CRI X25SR:CRIH26-IUS
Chicago,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
CIG-Mainline,0.0100,0.0400,0.0303,CRI X25SR:CRIH26-IUS
CIG-Mainline Pool,0.0100,0.0400,0.0303,CRI X25SR:CRIH26-IUS
CIG-Mainline South,0.0100,0.0400,0.0303,CRI X25SR:CRIH26-IUS
Dracut,0.9700,1.0500,1.0309,TMT X25SR:TMTH26-IUS
Eastern Gas-South,-0.7465,-0.7350,-0.7357,DOM X25SR:DOMH26-IUS
EGT-Flex,0.0250,0.0500,0.0331,CTP X25SR:CTPH26-IUS
EGT-North,0.0250,0.0500,0.0331,CTP X25SR:CTPH26-IUS
EGT-Perryville Hub,-0.1850,-0.1775,-0.1828,CGB X25SR:CGBH26-IUS
EGT-South,0.0250,0.0500,0.0331,CTP X25SR:CTPH26-IUS
EGT-West,0.0250,0.0500,0.0331,CTP X25SR:CTPH26-IUS
Enable East Pool,0.0250,0.0500,0.0331,CTP X25SR:CTPH26-IUS
EP-Keystone,-1.9300,-1.8300,-1.8655,PER X25SR:PERH26-IUS
EP-Plains Pool,-1.9300,-1.8300,-1.8655,PER X25SR:PERH26-IUS
EP-SJ Blanco Pool,0.3500,0.4000,0.3798,SNJ X25SR:SNJH26-IUS
EP-SJ Bondad Stn,0.3500,0.4000,0.3798,SNJ X25SR:SNJH26-IUS
EP-Waha Pool,-1.9300,-1.8300,-1.8655,PER X25SR:PERH26-IUS
ETC-Cleburne,-1.9800,-1.9300,-1.9294,WAH X25SR:WAHH26-IUS
ETC-Maypearl,-1.9800,-1.9300,-1.9294,WAH X25SR:WAHH26-IUS
FGT-Z3,,0.6450,0.5697,FTZ X25SR:FTZH26-IUS
GTN-Malin,0.4500,0.5700,0.5347,MLN X25SR:MLNH26-IUS
Guardian Hub,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
Gulf S. Pool 16,-0.3200,-0.3100,-0.3100,HXS X25SR:HXSH26-IUS
Gulf South - Perryville,-0.1850,-0.1775,-0.1828,CGB X25SR:CGBH26-IUS
Henry,0.0025,,0.0127,HEN X25SR:HENH26-IUS
HSC-HPL Pool,-0.3200,-0.3100,-0.3100,HXS X25SR:HXSH26-IUS
Iroquois (into),,,2.7691,IRB X25SR:IRBH26-IUS
Iroquois-Z2,4.0000,4.8500,4.4522,IZB X25SR:IZBH26-IUS
Jefferson Island,0.0025,,0.0127,HEN X25SR:HENH26-IUS
KRGT-Del Pool,0.7700,0.8200,0.8002,SCL X25SR:SCLH26-IUS
Leidy-Transco,-0.6200,-0.6000,-0.6071,YQB X25SR:YQBH26-IUS
Michcon,-0.4500,-0.4350,-0.4359,NMC X25SR:NMCH26-IUS
Millennium East Pool,,,-0.6076,MRB X25SR:MRBH26-IUS
Millennium-Ramapo,0.9700,1.0500,1.0309,TMT X25SR:TMTH26-IUS
MS Hub,0.4250,0.4450,0.4301,SON X25SR:SONH26-IUS
NBPL-Harper,-0.3325,,-0.2476,MCO X25SR:MCOH26-IUS
NBPL-Nicor,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
NBPL-Vector,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
NBPL-Ventura,0.6150,0.6550,0.6417,NVE X25SR:NVEH26-IUS
NBPL-Will County,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
NGPL-AM Pool,-0.3325,,-0.2476,MCO X25SR:MCOH26-IUS
NGPL-AM Stor,-0.3325,,-0.2476,MCO X25SR:MCOH26-IUS
NGPL-GC Mainline,-0.2825,-0.2625,-0.2698,NTO X25SR:NTOH26-IUS
NGPL-MidAm,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
NGPL-Midcont Pool,-0.3325,,-0.2476,MCO X25SR:MCOH26-IUS
NGPL-Midcont Stor,-0.3325,,-0.2476,MCO X25SR:MCOH26-IUS
NGPL-Nicor,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
NGPL-Nipsco,0.2250,0.2375,0.2360,DGD X25SR:DGDH26-IUS
NGPL-STX,,,-0.3431,NSX X25SR:NSXH26-IUS
NGPL-TXOK East,-0.2825,-0.2625,-0.2698,NTO X25SR:NTOH26-IUS
NGPL-TXOK West,-0.2825,-0.2625,-0.2698,NTO X25SR:NTOH26-IUS
NNG-Demarc,0.2850,0.3400,0.3262,DEM X25SR:DEMH26-IUS
NNG-Mid 13-16A,-0.0900,-0.0550,-0.0800,PAN X25SR:PANH26-IUS
NNG-Mid 1-7,-1.9300,-1.8300,-1.8655,PER X25SR:PERH26-IUS
NNG-Mid 8-12,-0.0900,-0.0550,-0.0800,PAN X25SR:PANH26-IUS
NNG-Ventura,0.6150,0.6550,0.6417,NVE X25SR:NVEH26-IUS
NWP-Rocky Mtn,0.5800,0.6250,0.6199,NWR X25SR:NWRH26-IUS
NWP-Sumas,1.0000,2.1000,1.9539,NSU X25SR:NSUH26-IUS
NWP-Wyoming,0.5800,0.6250,0.6199,NWR X25SR:NWRH26-IUS
Oasis - Waha Pool,-1.9800,-1.9300,-1.9294,WAH X25SR:WAHH26-IUS
OGT,-0.0950,-0.0535,-0.0923,ONE X25SR:ONEH26-IUS
