date,max_lmp,location
2020-11-30,31.79,.H.INTERNAL_HUB
2020-12-01,37.1,.H.INTERNAL_HUB
2020-12-02,43.63,.H.INTERNAL_HUB
2020-12-03,41.42,.H.INTERNAL_HUB
2020-12-04,33.52,.H.INTERNAL_HUB
2020-12-05,39.3,.H.INTERNAL_HUB
2020-12-06,49.02,.H.INTERNAL_HUB
2020-12-07,57.0,.H.INTERNAL_HUB
2020-12-08,53.09,.H.INTERNAL_HUB
2020-12-09,46.94,.H.INTERNAL_HUB
2020-12-10,48.08,.H.INTERNAL_HUB
2020-12-11,44.15,.H.INTERNAL_HUB
2020-12-12,40.03,.H.INTERNAL_HUB
2020-12-13,41.43,.H.INTERNAL_HUB
2020-12-14,56.58,.H.INTERNAL_HUB
2020-12-15,73.15,.H.INTERNAL_HUB
2020-12-16,95.83,.H.INTERNAL_HUB
2020-12-17,105.13,.H.INTERNAL_HUB
2020-12-18,130.34,.H.INTERNAL_HUB
2020-12-19,155.02,.H.INTERNAL_HUB
2020-12-20,97.53,.H.INTERNAL_HUB
2020-12-21,83.02,.H.INTERNAL_HUB
2020-12-22,62.47,.H.INTERNAL_HUB
2020-12-23,65.74,.H.INTERNAL_HUB
2020-12-24,47.27,.H.INTERNAL_HUB
2020-12-25,40.0,.H.INTERNAL_HUB
2020-12-26,57.55,.H.INTERNAL_HUB
2020-12-27,75.53,.H.INTERNAL_HUB
2020-12-28,62.73,.H.INTERNAL_HUB
2020-12-29,63.07,.H.INTERNAL_HUB
2020-12-30,51.65,.H.INTERNAL_HUB
2020-12-31,45.32,.H.INTERNAL_HUB
2021-01-01,51.36,.H.INTERNAL_HUB
2021-01-02,44.58,.H.INTERNAL_HUB
2021-01-03,48.62,.H.INTERNAL_HUB
2021-01-04,44.83,.H.INTERNAL_HUB
2021-01-05,49.63,.H.INTERNAL_HUB
2021-01-06,52.06,.H.INTERNAL_HUB
2021-01-07,52.33,.H.INTERNAL_HUB
2021-01-08,53.39,.H.INTERNAL_HUB
2021-01-09,54.37,.H.INTERNAL_HUB
2021-01-10,58.45,.H.INTERNAL_HUB
2021-01-11,68.02,.H.INTERNAL_HUB
2021-01-12,55.03,.H.INTERNAL_HUB
2021-01-13,61.0,.H.INTERNAL_HUB
2021-01-14,66.28,.H.INTERNAL_HUB
2021-01-15,46.51,.H.INTERNAL_HUB
2021-01-16,47.77,.H.INTERNAL_HUB
2021-01-17,47.5,.H.INTERNAL_HUB
2021-01-18,53.25,.H.INTERNAL_HUB
2021-01-19,53.5,.H.INTERNAL_HUB
2021-01-20,55.22,.H.INTERNAL_HUB
2021-01-21,56.59,.H.INTERNAL_HUB
2021-01-22,41.45,.H.INTERNAL_HUB
2021-01-23,64.29,.H.INTERNAL_HUB
2021-01-24,66.13,.H.INTERNAL_HUB
2021-01-25,61.99,.H.INTERNAL_HUB
2021-01-26,67.15,.H.INTERNAL_HUB
2021-01-27,62.43,.H.INTERNAL_HUB
2021-01-28,89.21,.H.INTERNAL_HUB
2021-01-29,110.64,.H.INTERNAL_HUB
2021-01-30,117.11,.H.INTERNAL_HUB
2021-01-31,111.2,.H.INTERNAL_HUB
2021-02-01,99.76,.H.INTERNAL_HUB
2021-02-02,85.74,.H.INTERNAL_HUB
2021-02-03,140.9,.H.INTERNAL_HUB
2021-02-04,155.85,.H.INTERNAL_HUB
2021-02-05,144.87,.H.INTERNAL_HUB
2021-02-06,111.5,.H.INTERNAL_HUB
2021-02-07,140.0,.H.INTERNAL_HUB
2021-02-08,150.26,.H.INTERNAL_HUB
2021-02-09,154.05,.H.INTERNAL_HUB
2021-02-10,135.46,.H.INTERNAL_HUB
2021-02-11,134.17,.H.INTERNAL_HUB
2021-02-12,120.44,.H.INTERNAL_HUB
2021-02-13,108.18,.H.INTERNAL_HUB
2021-02-14,98.2,.H.INTERNAL_HUB
2021-02-15,102.76,.H.INTERNAL_HUB
2021-02-16,89.15,.H.INTERNAL_HUB
2021-02-17,144.71,.H.INTERNAL_HUB
2021-02-18,146.34,.H.INTERNAL_HUB
2021-02-19,118.42,.H.INTERNAL_HUB
2021-02-20,89.86,.H.INTERNAL_HUB
2021-02-21,85.55,.H.INTERNAL_HUB
2021-02-22,85.59,.H.INTERNAL_HUB
2021-02-23,73.73,.H.INTERNAL_HUB
2021-02-24,53.21,.H.INTERNAL_HUB
2021-02-25,42.85,.H.INTERNAL_HUB
2021-02-26,52.7,.H.INTERNAL_HUB
2021-02-27,44.47,.H.INTERNAL_HUB
2021-02-28,49.23,.H.INTERNAL_HUB
2021-03-01,57.94,.H.INTERNAL_HUB
2021-03-02,78.44,.H.INTERNAL_HUB
2021-03-03,77.14,.H.INTERNAL_HUB
2021-03-04,84.7,.H.INTERNAL_HUB
2021-03-05,83.33,.H.INTERNAL_HUB
2021-03-06,75.66,.H.INTERNAL_HUB
2021-03-07,74.44,.H.INTERNAL_HUB
2021-03-08,76.35,.H.INTERNAL_HUB
2021-03-09,61.62,.H.INTERNAL_HUB
2021-03-10,54.09,.H.INTERNAL_HUB
2021-03-11,47.36,.H.INTERNAL_HUB
2021-03-12,42.5,.H.INTERNAL_HUB
2021-03-13,48.7,.H.INTERNAL_HUB
2021-03-14,58.67,.H.INTERNAL_HUB
2021-03-15,93.88,.H.INTERNAL_HUB
2021-03-16,89.7,.H.INTERNAL_HUB
2021-03-17,70.17,.H.INTERNAL_HUB
2021-03-18,37.7,.H.INTERNAL_HUB
2021-03-19,47.93,.H.INTERNAL_HUB
2021-03-20,56.52,.H.INTERNAL_HUB
2021-03-21,31.48,.H.INTERNAL_HUB
2021-03-22,42.76,.H.INTERNAL_HUB
2021-03-23,39.88,.H.INTERNAL_HUB
2021-03-24,34.44,.H.INTERNAL_HUB
2021-03-25,37.76,.H.INTERNAL_HUB
2021-03-26,31.8,.H.INTERNAL_HUB
2021-03-27,35.89,.H.INTERNAL_HUB
2021-03-28,33.38,.H.INTERNAL_HUB
2021-03-29,39.71,.H.INTERNAL_HUB
2021-03-30,35.58,.H.INTERNAL_HUB
2021-03-31,34.46,.H.INTERNAL_HUB
2021-04-01,35.72,.H.INTERNAL_HUB
2021-04-02,44.09,.H.INTERNAL_HUB
2021-04-03,46.03,.H.INTERNAL_HUB
2021-04-04,42.69,.H.INTERNAL_HUB
2021-04-05,43.96,.H.INTERNAL_HUB
2021-04-06,44.97,.H.INTERNAL_HUB
2021-04-07,34.87,.H.INTERNAL_HUB
2021-04-08,34.0,.H.INTERNAL_HUB
2021-04-09,32.61,.H.INTERNAL_HUB
2021-04-10,37.55,.H.INTERNAL_HUB
2021-04-11,38.42,.H.INTERNAL_HUB
2021-04-12,33.73,.H.INTERNAL_HUB
2021-04-13,36.7,.H.INTERNAL_HUB
2021-04-14,35.59,.H.INTERNAL_HUB
2021-04-15,33.77,.H.INTERNAL_HUB
2021-04-16,48.66,.H.INTERNAL_HUB
2021-04-17,47.08,.H.INTERNAL_HUB
2021-04-18,44.36,.H.INTERNAL_HUB
2021-04-19,49.02,.H.INTERNAL_HUB
2021-04-20,42.96,.H.INTERNAL_HUB
2021-04-21,39.94,.H.INTERNAL_HUB
2021-04-22,43.16,.H.INTERNAL_HUB
2021-04-23,41.24,.H.INTERNAL_HUB
2021-04-24,39.71,.H.INTERNAL_HUB
2021-04-25,40.0,.H.INTERNAL_HUB
2021-04-26,40.67,.H.INTERNAL_HUB
2021-04-27,42.43,.H.INTERNAL_HUB
2021-04-28,40.48,.H.INTERNAL_HUB
2021-04-29,37.04,.H.INTERNAL_HUB
2021-04-30,32.62,.H.INTERNAL_HUB
2021-05-01,33.75,.H.INTERNAL_HUB
2021-05-02,34.62,.H.INTERNAL_HUB
2021-05-03,34.47,.H.INTERNAL_HUB
2021-05-04,34.95,.H.INTERNAL_HUB
2021-05-05,32.19,.H.INTERNAL_HUB
2021-05-06,33.58,.H.INTERNAL_HUB
2021-05-07,38.03,.H.INTERNAL_HUB
2021-05-08,38.43,.H.INTERNAL_HUB
2021-05-09,35.08,.H.INTERNAL_HUB
2021-05-10,37.14,.H.INTERNAL_HUB
2021-05-11,38.15,.H.INTERNAL_HUB
2021-05-12,33.78,.H.INTERNAL_HUB
2021-05-13,38.34,.H.INTERNAL_HUB
2021-05-14,35.49,.H.INTERNAL_HUB
2021-05-15,33.75,.H.INTERNAL_HUB
2021-05-16,34.94,.H.INTERNAL_HUB
2021-05-17,35.75,.H.INTERNAL_HUB
2021-05-18,36.78,.H.INTERNAL_HUB
2021-05-19,43.6,.H.INTERNAL_HUB
2021-05-20,38.32,.H.INTERNAL_HUB
2021-05-21,33.3,.H.INTERNAL_HUB
2021-05-22,35.28,.H.INTERNAL_HUB
2021-05-23,45.09,.H.INTERNAL_HUB
2021-05-24,33.72,.H.INTERNAL_HUB
2021-05-25,32.25,.H.INTERNAL_HUB
2021-05-26,51.42,.H.INTERNAL_HUB
2021-05-27,35.28,.H.INTERNAL_HUB
2021-05-28,30.03,.H.INTERNAL_HUB
2021-05-29,29.44,.H.INTERNAL_HUB
2021-05-30,34.81,.H.INTERNAL_HUB
2021-05-31,28.86,.H.INTERNAL_HUB
2021-06-01,36.32,.H.INTERNAL_HUB
2021-06-02,37.05,.H.INTERNAL_HUB
2021-06-03,30.21,.H.INTERNAL_HUB
2021-06-04,36.0,.H.INTERNAL_HUB
2021-06-05,42.79,.H.INTERNAL_HUB
2021-06-06,65.26,.H.INTERNAL_HUB
2021-06-07,85.42,.H.INTERNAL_HUB
2021-06-08,64.61,.H.INTERNAL_HUB
2021-06-09,64.19,.H.INTERNAL_HUB
2021-06-10,54.57,.H.INTERNAL_HUB
2021-06-11,37.19,.H.INTERNAL_HUB
2021-06-12,41.88,.H.INTERNAL_HUB
2021-06-13,43.73,.H.INTERNAL_HUB
2021-06-14,37.99,.H.INTERNAL_HUB
2021-06-15,48.76,.H.INTERNAL_HUB
2021-06-16,43.36,.H.INTERNAL_HUB
2021-06-17,45.11,.H.INTERNAL_HUB
2021-06-18,44.65,.H.INTERNAL_HUB
2021-06-19,52.78,.H.INTERNAL_HUB
2021-06-20,65.82,.H.INTERNAL_HUB
2021-06-21,88.77,.H.INTERNAL_HUB
2021-06-22,55.12,.H.INTERNAL_HUB
2021-06-23,37.16,.H.INTERNAL_HUB
2021-06-24,39.58,.H.INTERNAL_HUB
2021-06-25,42.59,.H.INTERNAL_HUB
2021-06-26,44.81,.H.INTERNAL_HUB
2021-06-27,75.0,.H.INTERNAL_HUB
2021-06-28,111.85,.H.INTERNAL_HUB
