Date,Item,LNG_Bcf,Region,Pipe_Bcf
2015-01-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-01-31,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-02-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-03-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
