date,location,max_lmp
2018-01-01,WEST,155.63
2018-01-02,WEST,178.13
2018-01-03,WEST,187.93
2018-01-04,WEST,177.2
2018-01-05,WEST,246.93
2018-01-06,WEST,283.84
2018-01-07,WEST,246.31
2018-01-08,WEST,135.48
2018-01-09,WEST,112.46
2018-01-10,WEST,98.93
2018-01-11,WEST,39.1
2018-01-12,WEST,32.06
2018-01-13,WEST,54.19
2018-01-14,WEST,96.15
2018-01-15,WEST,158.46
2018-01-16,WEST,120.15
2018-01-17,WEST,124.45
2018-01-18,WEST,114.45
2018-01-19,WEST,70.18
2018-01-20,WEST,39.82
2018-01-21,WEST,37.71
2018-01-22,WEST,33.37
2018-01-23,WEST,31.04
2018-01-24,WEST,45.48
2018-01-25,WEST,57.01
2018-01-26,WEST,46.85
2018-01-27,WEST,30.61
2018-01-28,WEST,36.12
2018-01-29,WEST,46.59
2018-01-30,WEST,59.18
2018-01-31,WEST,60.3
2018-02-01,WEST,49.02
2018-02-02,WEST,48.52
2018-02-03,WEST,43.88
2018-02-04,WEST,36.61
2018-02-05,WEST,45.83
2018-02-06,WEST,47.37
2018-02-07,WEST,42.14
2018-02-08,WEST,44.19
2018-02-09,WEST,44.24
2018-02-10,WEST,34.68
2018-02-11,WEST,27.31
2018-02-12,WEST,36.82
2018-02-13,WEST,37.2
2018-02-14,WEST,31.64
2018-02-15,WEST,23.55
2018-02-16,WEST,24.49
2018-02-17,WEST,27.41
2018-02-18,WEST,27.38
2018-02-19,WEST,25.29
2018-02-20,WEST,24.69
2018-02-21,WEST,26.12
2018-02-22,WEST,32.63
2018-02-23,WEST,30.12
2018-02-24,WEST,26.7
2018-02-25,WEST,25.09
2018-02-26,WEST,30.27
2018-02-27,WEST,28.25
2018-02-28,WEST,29.68
2018-03-01,WEST,27.89
2018-03-02,WEST,26.35
2018-03-03,WEST,24.54
2018-03-04,WEST,30.0
2018-03-05,WEST,36.59
2018-03-06,WEST,33.55
2018-03-07,WEST,41.73
2018-03-08,WEST,37.23
2018-03-09,WEST,33.71
2018-03-10,WEST,30.91
2018-03-11,WEST,33.57
2018-03-12,WEST,47.11
2018-03-13,WEST,47.09
2018-03-14,WEST,33.37
2018-03-15,WEST,32.12
2018-03-16,WEST,29.87
2018-03-17,WEST,31.46
2018-03-18,WEST,32.45
2018-03-19,WEST,37.97
2018-03-20,WEST,36.64
2018-03-21,WEST,39.69
2018-03-22,WEST,35.46
2018-03-23,WEST,32.73
2018-03-24,WEST,28.86
2018-03-25,WEST,30.06
2018-03-26,WEST,32.1
2018-03-27,WEST,30.55
2018-03-28,WEST,29.87
2018-03-29,WEST,30.56
2018-03-30,WEST,26.44
2018-03-31,WEST,25.06
2018-04-01,WEST,19.55
2018-04-02,WEST,31.18
2018-04-03,WEST,32.06
2018-04-04,WEST,26.73
2018-04-05,WEST,32.05
2018-04-06,WEST,42.61
2018-04-07,WEST,35.92
2018-04-08,WEST,37.22
2018-04-09,WEST,65.0
2018-04-10,WEST,55.0
2018-04-11,WEST,40.03
2018-04-12,WEST,33.94
2018-04-13,WEST,31.2
2018-04-14,WEST,32.91
2018-04-15,WEST,40.21
2018-04-16,WEST,48.27
2018-04-17,WEST,58.0
2018-04-18,WEST,54.81
2018-04-19,WEST,56.93
2018-04-20,WEST,56.62
2018-04-21,WEST,48.79
2018-04-22,WEST,43.18
2018-04-23,WEST,39.99
2018-04-24,WEST,39.55
2018-04-25,WEST,34.35
2018-04-26,WEST,31.65
2018-04-27,WEST,31.16
2018-04-28,WEST,28.03
2018-04-29,WEST,27.8
2018-04-30,WEST,32.9
2018-05-01,WEST,34.82
2018-05-02,WEST,46.79
2018-05-03,WEST,49.28
2018-05-04,WEST,42.11
2018-05-05,WEST,26.1
2018-05-06,WEST,24.14
2018-05-07,WEST,27.7
2018-05-08,WEST,31.89
2018-05-09,WEST,44.51
2018-05-10,WEST,45.69
2018-05-11,WEST,34.35
2018-05-12,WEST,26.32
2018-05-13,WEST,26.02
2018-05-14,WEST,34.76
2018-05-15,WEST,43.25
2018-05-16,WEST,38.0
2018-05-17,WEST,35.41
2018-05-18,WEST,45.0
2018-05-19,WEST,24.11
2018-05-20,WEST,25.72
2018-05-21,WEST,42.11
2018-05-22,WEST,41.43
2018-05-23,WEST,37.39
2018-05-24,WEST,49.78
2018-05-25,WEST,64.07
2018-05-26,WEST,47.63
2018-05-27,WEST,34.08
2018-05-28,WEST,28.95
2018-05-29,WEST,128.52
2018-05-30,WEST,155.0
2018-05-31,WEST,198.7
2018-06-01,WEST,185.0
2018-06-02,WEST,83.85
2018-06-03,WEST,29.43
2018-06-04,WEST,45.14
2018-06-05,WEST,43.5
2018-06-06,WEST,38.27
2018-06-07,WEST,43.5
2018-06-08,WEST,54.26
2018-06-09,WEST,30.67
2018-06-10,WEST,22.61
2018-06-11,WEST,45.35
2018-06-12,WEST,45.59
2018-06-13,WEST,53.57
2018-06-14,WEST,36.07
2018-06-15,WEST,40.57
2018-06-16,WEST,35.51
2018-06-17,WEST,56.74
2018-06-18,WEST,103.0
2018-06-19,WEST,91.63
2018-06-20,WEST,53.89
2018-06-21,WEST,55.4
2018-06-22,WEST,56.44
2018-06-23,WEST,29.68
2018-06-24,WEST,37.7
2018-06-25,WEST,36.07
2018-06-26,WEST,47.59
2018-06-27,WEST,36.02
2018-06-28,WEST,56.0
2018-06-29,WEST,100.0
2018-06-30,WEST,95.47
2018-07-01,WEST,126.97
2018-07-02,WEST,255.0
2018-07-03,WEST,250.0
2018-07-04,WEST,90.0
2018-07-05,WEST,154.75
2018-07-06,WEST,51.52
2018-07-07,WEST,30.68
2018-07-08,WEST,47.83
2018-07-09,WEST,72.32
2018-07-10,WEST,111.57
2018-07-11,WEST,78.02
2018-07-12,WEST,80.91
2018-07-13,WEST,72.09
2018-07-14,WEST,43.96
2018-07-15,WEST,60.67
2018-07-16,WEST,125.0
2018-07-17,WEST,72.24
2018-07-18,WEST,41.12
2018-07-19,WEST,43.68
2018-07-20,WEST,57.56
2018-07-21,WEST,42.47
2018-07-22,WEST,32.96
2018-07-23,WEST,50.07
2018-07-24,WEST,51.7
2018-07-25,WEST,48.84
2018-07-26,WEST,50.08
2018-07-27,WEST,48.0
2018-07-28,WEST,37.39
2018-07-29,WEST,36.24
2018-07-30,WEST,49.32
2018-07-31,WEST,48.3
2018-08-01,WEST,47.85
2018-08-02,WEST,79.12
2018-08-03,WEST,50.08
2018-08-04,WEST,43.51
2018-08-05,WEST,53.56
2018-08-06,WEST,120.81
2018-08-07,WEST,73.11
2018-08-08,WEST,62.56
2018-08-09,WEST,72.15
2018-08-10,WEST,50.08
2018-08-11,WEST,36.45
2018-08-12,WEST,43.64
2018-08-13,WEST,49.74
2018-08-14,WEST,49.59
2018-08-15,WEST,55.51
2018-08-16,WEST,72.2
2018-08-17,WEST,45.0
2018-08-18,WEST,37.74
2018-08-19,WEST,34.48
2018-08-20,WEST,50.07
2018-08-21,WEST,36.7
2018-08-22,WEST,36.58
2018-08-23,WEST,41.37
2018-08-24,WEST,51.11
2018-08-25,WEST,29.97
2018-08-26,WEST,44.11
2018-08-27,WEST,90.0
2018-08-28,WEST,128.0
2018-08-29,WEST,89.04
2018-08-30,WEST,50.08
2018-08-31,WEST,49.68
2018-09-01,WEST,42.61
2018-09-02,WEST,46.5
2018-09-03,WEST,55.0
2018-09-04,WEST,134.28
2018-09-05,WEST,133.4
2018-09-06,WEST,71.63
2018-09-07,WEST,68.89
2018-09-08,WEST,31.07
2018-09-09,WEST,29.44
2018-09-10,WEST,33.69
2018-09-11,WEST,38.13
2018-09-12,WEST,40.09
2018-09-13,WEST,44.09
2018-09-14,WEST,55.11
2018-09-15,WEST,48.0
2018-09-16,WEST,56.07
2018-09-17,WEST,48.11
2018-09-18,WEST,50.2
2018-09-19,WEST,45.02
2018-09-20,WEST,50.44
2018-09-21,WEST,53.64
2018-09-22,WEST,38.15
2018-09-23,WEST,34.16
2018-09-24,WEST,43.24
2018-09-25,WEST,44.54
2018-09-26,WEST,37.96
2018-09-27,WEST,38.73
2018-09-28,WEST,33.85
2018-09-29,WEST,30.7
2018-09-30,WEST,34.64
2018-10-01,WEST,46.41
2018-10-02,WEST,48.34
2018-10-03,WEST,48.11
2018-10-04,WEST,43.98
2018-10-05,WEST,38.37
2018-10-06,WEST,34.9
2018-10-07,WEST,38.46
2018-10-08,WEST,41.43
2018-10-09,WEST,54.48
2018-10-10,WEST,60.0
2018-10-11,WEST,40.99
2018-10-12,WEST,58.4
2018-10-13,WEST,32.12
2018-10-14,WEST,33.89
2018-10-15,WEST,31.21
2018-10-16,WEST,42.99
2018-10-17,WEST,36.69
2018-10-18,WEST,46.88
2018-10-19,WEST,40.15
2018-10-20,WEST,34.21
2018-10-21,WEST,45.76
2018-10-22,WEST,52.31
2018-10-23,WEST,57.68
2018-10-24,WEST,53.17
2018-10-25,WEST,58.02
2018-10-26,WEST,50.07
2018-10-27,WEST,44.64
2018-10-28,WEST,46.18
2018-10-29,WEST,51.67
2018-10-30,WEST,60.0
2018-10-31,WEST,53.03
2018-11-01,WEST,39.79
2018-11-02,WEST,40.4
2018-11-03,WEST,31.09
2018-11-04,WEST,36.79
2018-11-05,WEST,39.72
2018-11-06,WEST,39.04
2018-11-07,WEST,41.54
2018-11-08,WEST,46.52
2018-11-09,WEST,49.9
2018-11-10,WEST,37.76
2018-11-11,WEST,39.27
2018-11-12,WEST,49.56
2018-11-13,WEST,49.29
2018-11-14,WEST,89.11
2018-11-15,WEST,79.61
2018-11-16,WEST,62.74
2018-11-17,WEST,47.9
2018-11-18,WEST,50.64
2018-11-19,WEST,67.68
2018-11-20,WEST,70.0
2018-11-21,WEST,67.98
2018-11-22,WEST,48.05
2018-11-23,WEST,44.62
2018-11-24,WEST,35.74
2018-11-25,WEST,45.36
2018-11-26,WEST,88.02
2018-11-27,WEST,120.1
2018-11-28,WEST,56.17
2018-11-29,WEST,57.15
2018-11-30,WEST,66.0
2018-12-01,WEST,45.69
2018-12-02,WEST,42.78
2018-12-03,WEST,54.96
2018-12-04,WEST,88.02
2018-12-05,WEST,66.0
2018-12-06,WEST,63.08
2018-12-07,WEST,69.92
2018-12-08,WEST,63.18
2018-12-09,WEST,51.64
2018-12-10,WEST,88.02
2018-12-11,WEST,71.94
2018-12-12,WEST,64.71
2018-12-13,WEST,50.98
2018-12-14,WEST,46.43
2018-12-15,WEST,42.44
2018-12-16,WEST,47.47
2018-12-17,WEST,50.15
2018-12-18,WEST,61.85
