date,location,max_lmp
2023-02-20,WESTERN HUB,38.230829
2023-02-21,WESTERN HUB,43.300725
2023-02-22,WESTERN HUB,37.133017
2023-02-23,WESTERN HUB,35.16656
2023-02-24,WESTERN HUB,37.746351
2023-02-25,WESTERN HUB,37.080518
2023-02-26,WESTERN HUB,35.317185
2023-02-27,WESTERN HUB,35.736248
2023-02-28,WESTERN HUB,37.536351
2023-03-01,WESTERN HUB,41.083226
2023-03-02,WESTERN HUB,40.105518
2023-03-03,WESTERN HUB,37.531664
2023-03-04,WESTERN HUB,38.64531
2023-03-05,WESTERN HUB,39.568956
2023-03-06,WESTERN HUB,48.577497
2023-03-07,WESTERN HUB,47.330413
2023-03-08,WESTERN HUB,60.015513
2023-03-09,WESTERN HUB,53.878016
2023-03-10,WESTERN HUB,39.48333
2023-03-11,WESTERN HUB,38.530519
2023-03-12,WESTERN HUB,36.256873
2023-03-13,WESTERN HUB,44.999372
2023-03-14,WESTERN HUB,59.268839
2023-03-15,WESTERN HUB,72.063423
2023-03-16,WESTERN HUB,71.816346
2023-03-17,WESTERN HUB,33.493331
2023-03-18,WESTERN HUB,37.804164
2023-03-19,WESTERN HUB,44.619996
2023-03-20,WESTERN HUB,107.573934
2023-03-21,WESTERN HUB,86.637687
2023-03-22,WESTERN HUB,33.380622
2023-03-23,WESTERN HUB,31.426769
2023-03-24,WESTERN HUB,30.949373
2023-03-25,WESTERN HUB,29.700936
2023-03-26,WESTERN HUB,36.413644
2023-03-27,WESTERN HUB,44.323956
2023-03-28,WESTERN HUB,42.720413
2023-03-29,WESTERN HUB,38.220307
2023-03-30,WESTERN HUB,48.737496
2023-03-31,WESTERN HUB,41.491144
2023-04-01,WESTERN HUB,33.719581
2023-04-02,WESTERN HUB,36.212707
2023-04-03,WESTERN HUB,54.154268
2023-04-04,WESTERN HUB,40.479997
2023-04-05,WESTERN HUB,57.88593
2023-04-06,WESTERN HUB,50.066765
2023-04-07,WESTERN HUB,35.099582
2023-04-08,WESTERN HUB,31.464687
2023-04-09,WESTERN HUB,35.451561
2023-04-10,WESTERN HUB,77.166554
2023-04-11,WESTERN HUB,50.089369
2023-04-12,WESTERN HUB,48.581143
2023-04-13,WESTERN HUB,64.964471
2023-04-14,WESTERN HUB,55.298535
2023-04-15,WESTERN HUB,36.722705
2023-04-16,WESTERN HUB,41.981137
2023-04-17,WESTERN HUB,43.885097
2023-04-18,WESTERN HUB,52.634997
2023-04-19,WESTERN HUB,58.486663
2023-04-20,WESTERN HUB,67.722281
2023-04-21,WESTERN HUB,71.611856
2023-04-22,WESTERN HUB,55.110307
2023-04-23,WESTERN HUB,41.218122
2023-04-24,WESTERN HUB,62.01353
2023-04-25,WESTERN HUB,68.505722
2023-04-26,WESTERN HUB,52.364573
2023-04-27,WESTERN HUB,45.107597
2023-04-28,WESTERN HUB,43.317077
2023-04-29,WESTERN HUB,38.90833
2023-04-30,WESTERN HUB,37.418018
2023-05-01,WESTERN HUB,39.112185
2023-05-02,WESTERN HUB,46.834164
2023-05-03,WESTERN HUB,43.975309
