Date,AGT-CG (non-G),ANR-SE-T,ANR-SW,APC-ACE,CG-Mainline,CG-Onshore,Carthage,Chicago,Dracut,Eastern Gas-South,FGT-Z3,HSC-HPL Pool,Henry,Iroquois (into),Iroquois-Z2,Leidy-Transco,Michcon,NBPL-Vector,NGPL-Midcont Pool,NGPL-STX,NGPL-TXOK East,NNG-Demarc,NNG-Ventura,Panhandle,Pine Prairie,REX E-NGPL,REX-Z3 (receipt) ,Sonat-Z0 South,TCO,TETCO-ELA,TETCO-M2 (receipt),TETCO-M3,TETCO-STX,TETCO-WLA,TGP-500L,TGP-800L,TGP-Z0 South,TGP-Z1 100L,TGP-Z1 Sta-87,TGP-Z4 Marcellus,TGP-Z4 Sta-219,TGP-Z4 Sta-313,TGT-Mainline,Transco Zn3,Transco-165,Transco-30,Transco-45,Transco-65,Transco-85,Transco-Z5 South,Transco-Z6 (NY),Transco-Z6 (non-NY north),Transco-Z6 (non-NY),Transco-Z6 Sta-210,Trunkline-Z1A,Union-Dawn,Waha,,Date
1/1/2015,,2.9255,2.9272,3.0451,2.9163,2.925,2.917,3.04,5.635,1.225,3.01,2.9406,2.9949,3.525,3.7,1.09,3.0442,3.0723,2.9155,2.8625,2.9004,3.0677,3.0614,,2.9705,3.0338,,2.975,2.85,2.9,1.255,1.82,2.92,0,2.955,2.94,2.86,,,1.1243,1.78,1.2529,2.925,3,,2.92,2.95,2.9961,3.015,,3.145,3.0746,3.08,,2.9572,,3.116,,AGT-CG (non-G)
1/2/2015,,2.9255,2.9272,3.0451,2.9163,2.925,2.917,3.04,5.635,1.225,3.01,2.9406,2.9949,3.525,3.7,1.09,3.0442,3.0723,2.9155,2.8625,2.9004,3.0677,3.0614,,2.9705,3.0338,,2.975,2.85,2.9,1.255,1.82,2.92,0,2.955,2.94,2.86,,,1.1243,1.78,1.2529,2.925,3,,2.92,2.95,2.9961,3.015,,3.145,3.0746,3.08,,2.9572,,3.116,,ANR-SE-T
1/3/2015,,2.9668,3.0515,3.2059,2.9328,2.94,2.9418,3.22,6.5,0.91,3.01,3,2.9902,4,4.2658,0.875,3.1106,3.3101,3.0089,2.879,2.8947,3.5178,3.4929,,2.9731,3.1777,,2.97,2.8,2.97,1.065,1.965,2.915,2.9,2.95,2.94,2.875,,,0.673,1.495,1.1938,2.95,2.99,,2.905,2.965,2.9885,3.005,,3.07,3.04,3.04,,2.9572,,3.116,,ANR-SW
1/4/2015,,2.9668,3.0515,3.2059,2.9328,2.94,2.9418,3.22,6.5,0.91,3.01,3,2.9902,4,4.2658,0.875,3.1106,3.3101,3.0089,2.879,2.8947,3.5178,3.4929,,2.9731,3.1777,,2.97,2.8,2.97,1.065,1.965,2.915,2.9,2.95,2.94,2.875,,,0.673,1.495,1.1938,2.95,2.99,,2.905,2.965,2.9885,3.005,,3.07,3.04,3.04,,3.1467,3.2361,3.1353,,APC-ACE
1/5/2015,,2.9668,3.0515,3.2059,2.9328,2.94,2.9418,3.22,6.5,0.91,3.01,3,2.9902,4,4.2658,0.875,3.1106,3.3101,3.0089,2.879,2.8947,3.5178,3.4929,,2.9731,3.1777,,2.97,2.8,2.97,1.065,1.965,2.915,2.9,2.95,2.94,2.875,,,0.673,1.495,1.1938,2.95,2.99,,2.905,2.965,2.9885,3.005,,3.07,3.04,3.04,,2.9193,3.0571,2.9973,,CG-Mainline
1/6/2015,,3.1275,3.2114,3.2604,3.1317,3.115,3.0944,3.345,9.935,1.36,3.155,3.1493,2.9902,8.1,9.4251,1.36,3.1661,3.515,3.0589,2.9743,3.0685,3.6813,3.7114,,3.1261,3.3271,3.65,3.17,2.94,3.095,1.625,5.85,3.04,3.035,3.14,3.115,3.03,,,1.2973,1.81,1.3114,3.14,3.15,,3.05,3.125,3.1449,3.16,,10.04,5.94,6.055,,3.0362,3.0911,3.0523,,CG-Onshore
1/7/2015,,2.899,3.1032,3.3073,2.8995,2.88,2.9079,3.535,12.42,1.5,2.975,2.9136,2.9656,11.635,15.2717,1.265,2.9727,3.6869,2.8802,2.8574,2.8361,3.6079,3.6651,3.0863,2.9044,3.1579,3.175,2.95,2.865,2.88,1.845,12.8,2.9,2.9,2.92,2.91,2.87,,,1.1267,2.52,1.4222,2.945,2.96,,2.905,2.93,2.9659,2.97,,18.915,14.29,14.145,,2.91,2.997,2.8347,,Carthage
1/8/2015,,3.0051,3.0694,3.3037,3.0249,2.985,3.0299,3.33,12.675,1.425,3.095,3.1167,3.0663,9.975,12.2244,1.35,3.0452,3.6016,2.948,2.9502,2.925,3.6081,3.6716,3.1016,3.0312,3.2003,3.25,3.07,3.025,2.95,2.2,10.925,2.975,2.965,3.025,3,2.94,,,1.3977,2.13,1.4957,3.035,3.065,,3.005,3.02,3.0507,3.1,,14.295,13.405,13.34,,2.9413,,2.8668,,Chicago
1/9/2015,,2.871,2.876,3.1389,2.8894,2.865,2.8631,3.165,7.575,1.945,2.94,2.8653,2.9133,5.405,6.9751,1.555,2.9523,3.2336,2.7868,2.802,2.8254,3.3393,3.3656,2.8678,2.888,3.0389,3.065,2.91,2.905,2.85,2.51,6.56,2.795,0,2.88,2.86,2.81,,,1.6119,2.825,1.7372,2.9,2.91,,2.9,2.9,2.9266,2.95,,8.985,6.945,6.945,,2.9413,,2.8668,,Dracut
1/10/2015,,2.9352,2.8521,3.062,2.9409,2.93,2.9097,3.06,9.22,1.575,3.005,2.8945,2.9511,8.59,11.7424,1.345,3.0348,3.0867,2.8382,2.8982,2.8902,3.0756,3.0892,2.8182,2.9606,2.9652,2.99,2.97,2.86,2.93,1.67,5.42,2.9,2.935,2.97,2.92,2.865,,,1.3538,2.82,1.4581,2.945,2.98,,2.935,2.955,2.9852,2.995,,10.765,6.11,6.11,,2.9413,,2.8668,,Eastern Gas-South
