GasDate,DryGasProduction,LNG Sendout,Net Imports from Canada,TotalSupply,PowerBurn,Industrial,ResComm,PipeLoss,USDemand,NetExports to Mexico,Total Demand,NetImportExport,Balance,ImpliedStorageChange,LNG Feedgas
2018-01-01,72951.0,1023.0,8292.0,82266.0,33013.0,28697.0,77117.0,3955.0,146050.0,4002.0,150052.0,5313.0,280.0,-67506.0,3268.0
2018-01-02,73561.0,1095.0,7811.0,82467.0,32549.0,28206.0,69810.0,3750.0,136179.0,3991.0,140170.0,4915.0,320.0,-57385.0,1864.0
2018-01-03,73888.0,920.0,6563.0,81371.0,32075.0,26831.0,61572.0,3505.0,126772.0,4276.0,131048.0,3207.0,663.0,-49014.0,2790.0
2018-01-04,75547.0,943.0,6382.0,82872.0,32352.0,26764.0,63785.0,3508.0,129369.0,4212.0,133581.0,3113.0,1338.0,-49370.0,2960.0
2018-01-05,77091.0,791.0,5798.0,83680.0,29697.0,26835.0,68167.0,3511.0,131377.0,4447.0,135824.0,2142.0,2242.0,-49902.0,3168.0
2018-01-06,77351.0,848.0,5569.0,83768.0,25887.0,26744.0,69288.0,3412.0,127033.0,4369.0,131402.0,2048.0,2190.0,-45445.0,1703.0
2018-01-07,77470.0,645.0,5533.0,83648.0,24913.0,25470.0,57134.0,3133.0,112567.0,4387.0,116954.0,1791.0,1641.0,-31666.0,1916.0
2018-01-08,77620.0,338.0,5631.0,83589.0,25369.0,24351.0,49075.0,2778.0,103623.0,4303.0,107926.0,1666.0,1223.0,-23114.0,2049.0
2018-01-09,78093.0,515.0,5537.0,84145.0,23400.0,24036.0,42899.0,2545.0,94856.0,4437.0,99293.0,1615.0,703.0,-14445.0,1976.0
2018-01-10,78055.0,324.0,5014.0,83393.0,22509.0,23650.0,39592.0,2399.0,90358.0,4364.0,94722.0,974.0,499.0,-10831.0,2208.0
2018-01-11,78140.0,151.0,4614.0,82905.0,22555.0,23536.0,35556.0,2324.0,86054.0,4435.0,90489.0,330.0,-76.0,-7660.0,2083.0
2018-01-12,77892.0,135.0,4207.0,82234.0,25445.0,24994.0,44106.0,2705.0,99532.0,4422.0,103954.0,-80.0,-1430.0,-23151.0,2282.0
2018-01-13,76935.0,271.0,5971.0,83177.0,27524.0,25902.0,56651.0,3116.0,116049.0,4340.0,120389.0,1902.0,-451.0,-37662.0,2856.0
2018-01-14,77297.0,720.0,6264.0,84281.0,26765.0,26193.0,62640.0,3224.0,122048.0,4396.0,126444.0,2588.0,-226.0,-42389.0,3226.0
2018-01-15,77679.0,662.0,6297.0,84638.0,27645.0,25877.0,63206.0,3263.0,123232.0,4393.0,127625.0,2566.0,-646.0,-43632.0,3240.0
2018-01-16,76478.0,371.0,6586.0,83435.0,31806.0,26865.0,63330.0,3468.0,128745.0,4197.0,132942.0,2760.0,-966.0,-50472.0,3276.0
2018-01-17,74278.0,1162.0,7038.0,82478.0,33134.0,26979.0,62476.0,3497.0,129186.0,4144.0,133330.0,4056.0,-1040.0,-51892.0,3100.0
2018-01-18,76096.0,874.0,5790.0,82760.0,29614.0,25810.0,54909.0,3148.0,115989.0,4399.0,120388.0,2265.0,-1238.0,-38866.0,2508.0
2018-01-19,77904.0,282.0,5307.0,83493.0,24119.0,24402.0,45471.0,2663.0,97284.0,4489.0,101773.0,1100.0,-2904.0,-21185.0,630.0
2018-01-20,78670.0,272.0,5219.0,84161.0,20717.0,23448.0,37986.0,2314.0,85423.0,4489.0,89912.0,1002.0,-2585.0,-8336.0,958.0
2018-01-21,78873.0,228.0,5237.0,84338.0,21012.0,23135.0,37986.0,2303.0,86085.0,4479.0,90564.0,986.0,-2795.0,-9022.0,1650.0
2018-01-22,78984.0,301.0,5238.0,84523.0,21221.0,23276.0,36053.0,2282.0,85335.0,4471.0,89806.0,1068.0,-2597.0,-7879.0,2504.0
2018-01-23,78712.0,268.0,4967.0,83947.0,21631.0,23812.0,38548.0,2387.0,88959.0,4471.0,93430.0,764.0,-2310.0,-11793.0,2580.0
2018-01-24,78786.0,416.0,5590.0,84792.0,22925.0,24440.0,44777.0,2592.0,97621.0,4509.0,102130.0,1497.0,-2710.0,-20048.0,2888.0
2018-01-25,79090.0,555.0,5250.0,84895.0,22303.0,24273.0,45669.0,2574.0,97971.0,4569.0,102540.0,1236.0,-3155.0,-20799.0,3151.0
2018-01-26,78941.0,579.0,5050.0,84570.0,20429.0,23587.0,41393.0,2391.0,91000.0,4485.0,95485.0,1144.0,-3904.0,-14818.0,3200.0
2018-01-27,79189.0,329.0,5065.0,84583.0,19107.0,23304.0,35862.0,2213.0,83685.0,4551.0,88236.0,843.0,-3207.0,-6859.0,3200.0
2018-01-28,79376.0,297.0,5101.0,84774.0,19918.0,23491.0,36135.0,2254.0,84924.0,4548.0,89472.0,850.0,-2783.0,-7481.0,3125.0
2018-01-29,79554.0,184.0,5367.0,85105.0,22923.0,24398.0,44409.0,2595.0,97476.0,4556.0,102032.0,995.0,-2905.0,-19832.0,3151.0
2018-01-30,79601.0,272.0,5311.0,85184.0,23191.0,24828.0,49449.0,2737.0,103458.0,4510.0,107968.0,1073.0,-3481.0,-26266.0,3254.0
2018-01-31,79355.0,348.0,5345.0,85048.0,22940.0,24164.0,44545.0,2561.0,97611.0,4579.0,102190.0,1114.0,-3630.0,-20771.0,3401.0
2018-02-01,79846.0,204.0,5112.0,85162.0,24310.0,24468.0,45649.0,2641.0,100586.0,4523.0,105109.0,793.0,-3010.0,-22957.0,3520.0
2018-02-02,79984.0,580.0,5346.0,85910.0,23474.0,25489.0,55304.0,2906.0,110596.0,4550.0,115146.0,1376.0,-2232.0,-31468.0,3423.0
2018-02-03,80556.0,491.0,4915.0,85962.0,21378.0,24741.0,49603.0,2664.0,101817.0,4514.0,106331.0,892.0,-2927.0,-23296.0,3432.0
2018-02-04,80603.0,263.0,4827.0,85693.0,22538.0,24724.0,48313.0,2677.0,101683.0,4531.0,106214.0,559.0,-1802.0,-22323.0,3431.0
2018-02-05,80504.0,263.0,5116.0,85883.0,23742.0,25837.0,55375.0,2929.0,111239.0,4501.0,115740.0,878.0,-1798.0,-31655.0,3356.0
2018-02-06,80169.0,334.0,5173.0,85676.0,24978.0,25471.0,52434.0,2866.0,108921.0,4467.0,113388.0,1040.0,-1906.0,-29618.0,3172.0
2018-02-07,79744.0,202.0,5561.0,85507.0,25591.0,25068.0,49492.0,2800.0,106267.0,4528.0,110795.0,1235.0,-1996.0,-27284.0,3316.0
2018-02-08,80069.0,305.0,5609.0,85983.0,24599.0,25178.0,50986.0,2798.0,106812.0,4599.0,111411.0,1315.0,-2441.0,-27870.0,3251.0
2018-02-09,80054.0,564.0,4845.0,85463.0,23210.0,24546.0,46176.0,2600.0,99769.0,4576.0,104345.0,833.0,-2723.0,-21605.0,3237.0
2018-02-10,79680.0,322.0,4589.0,84591.0,22388.0,24684.0,44592.0,2566.0,97461.0,4374.0,101835.0,537.0,-1755.0,-18999.0,3232.0
