Date,Item,Value
2015-01-01,AESO - PeakLoad,10244
2015-01-01,BPA - PeakLoad,8829
2015-01-01,CAISO - Biogas,3807.0
2015-01-01,CAISO - Biomass,6457.0
2015-01-01,CAISO - Geothermal Steam,25698.0
2015-01-01,CAISO - Hydro,28413.0
2015-01-01,CAISO - Nuclear Power,26169.0
2015-01-01,CAISO - PeakLoad,28121
2015-01-01,CAISO - Power Imports,170555.0
2015-01-01,CAISO - Solar PV,26270.0
2015-01-01,CAISO - Solar Thermal,2275.0
2015-01-01,CAISO - Thermal Power,275039.0
2015-01-01,CAISO - Total Generation,567294.0
2015-01-01,CAISO - Wind,2611.0
2015-01-01,ERCOT - PeakLoad,45761
2015-01-01,IESO - Biofuel,468.0
2015-01-01,IESO - Hydro,91215.0
2015-01-01,IESO - Natural Gas,23639.0
2015-01-01,IESO - Nuclear Power,274741.0
2015-01-01,IESO - PeakLoad,18002
2015-01-01,IESO - Total Generation,448872.0
2015-01-01,IESO - Wind,58809.0
2015-01-01,ISONE - Coal,18153
2015-01-01,ISONE - Hydro,28446
2015-01-01,ISONE - Natural Gas,86091
2015-01-01,ISONE - Nuclear Power,96979
2015-01-01,ISONE - Other,21427
2015-01-01,ISONE - PeakLoad,17254
2015-01-01,ISONE - Residual Oil,200
2015-01-01,ISONE - Solar Thermal,1086
2015-01-01,ISONE - Total Generation,260911
2015-01-01,ISONE - Wind,8529
2015-01-01,MISO - PeakLoad,81752
2015-01-01,NYISO - PeakLoad,20225
2015-01-01,PJM - PeakLoad,101084
2015-01-01,SPP - Coal,449106
2015-01-01,SPP - Diesel,0
2015-01-01,SPP - Hydro,1918
2015-01-01,SPP - Natural Gas,129778
2015-01-01,SPP - Nuclear Power,60981
2015-01-01,SPP - PeakLoad,29479
2015-01-01,SPP - Total Generation,655787
2015-01-01,SPP - Wind,14004
2015-01-02,AESO - PeakLoad,10967
2015-01-02,BPA - PeakLoad,8840
2015-01-02,CAISO - Biogas,3815.0
2015-01-02,CAISO - Biomass,6133.0
2015-01-02,CAISO - Geothermal Steam,25722.0
2015-01-02,CAISO - Hydro,34298.0
2015-01-02,CAISO - Nuclear Power,27136.0
2015-01-02,CAISO - PeakLoad,29337
2015-01-02,CAISO - Power Imports,183100.0
2015-01-02,CAISO - Solar PV,28182.0
2015-01-02,CAISO - Solar Thermal,5518.0
2015-01-02,CAISO - Thermal Power,281233.0
2015-01-02,CAISO - Total Generation,595735.0
2015-01-02,CAISO - Wind,598.0
2015-01-02,ERCOT - PeakLoad,44372
2015-01-02,IESO - Biofuel,953.0
2015-01-02,IESO - Hydro,109754.0
2015-01-02,IESO - Natural Gas,41062.0
2015-01-02,IESO - Nuclear Power,277570.0
2015-01-02,IESO - PeakLoad,18821
2015-01-02,IESO - Total Generation,451458.0
2015-01-02,IESO - Wind,22119.0
2015-01-02,ISONE - Coal,15224
2015-01-02,ISONE - Hydro,26746
2015-01-02,ISONE - Natural Gas,97825
2015-01-02,ISONE - Nuclear Power,96955
2015-01-02,ISONE - Other,21458
2015-01-02,ISONE - PeakLoad,17566
2015-01-02,ISONE - Residual Oil,60
2015-01-02,ISONE - Solar Thermal,656
2015-01-02,ISONE - Total Generation,271054
2015-01-02,ISONE - Wind,12130
2015-01-02,MISO - PeakLoad,82360
2015-01-02,NYISO - PeakLoad,21193
2015-01-02,PJM - PeakLoad,103606
2015-01-02,SPP - Coal,450206
2015-01-02,SPP - Diesel,0
2015-01-02,SPP - Hydro,1835
2015-01-02,SPP - Natural Gas,130474
2015-01-02,SPP - Nuclear Power,60980
2015-01-02,SPP - PeakLoad,29415
2015-01-02,SPP - Total Generation,654554
2015-01-02,SPP - Wind,11059
2015-01-03,AESO - PeakLoad,10876
2015-01-03,BPA - PeakLoad,8094
2015-01-03,CAISO - Biogas,3940.0
2015-01-03,CAISO - Biomass,6427.0
