symbol,description
IGBDV21,Northern Demarc FDt Com
IGBBZ21,NGPL Midcont FDt Com
IGBDC21,Eastern Gas South FDt Com
IGBDE21,Col Gas Appal FDt Com
IGBCA21,Enable Gas Transmission FDt Com
IGBDX21,Chicago CG FDt Com
IGBIE21,Transco Station 65 FDt Com
IGBBL21,Henry Hub FDt Com
IGBAP21,Houston ShipChl FDt Com
IGBAD21,Waha FDt Com
IGBDZ21,Mich Con CG FDt Com
IGBES21,Kern River Dlvd FDt Com
IGBCO21,Cheyenne Hub FDt Com
IGBGL21,White River Hub FDt Com
IGBCX21,Dawn Ontario FDt Com
IGBHI21,Tennessee Zone 1 FDt Com
IGBRT21,El Paso West Texas FDt Com
IGBDY21,Cons Energy CG FDt Com
IGBCD21,Oneok OK FDt Com
IGBBY21,ANR OK FDt Com
IGBRU21,Pine Prairie Hub FDt Com
IGBIW21,Millennium East receipts FDt Com
IGBIS21,Transco Leidy Line receipts FDt Com
IGBAQ21,Katy FDt Com
IGBBF21,ANR LA FDt Com
IGBJN21,Tennessee Gas Pipeline Zone 4-200 leg FDt Com
IGBFL21,Tennessee zone 4-300 leg FDt Com
IGBBO21,SoNat LA FDt Com
IGBAB21,El Paso Permian FDt Com
IGBCH21,El Paso SanJuan FDt Com
IGBDL21,SoCal Gas FDt Com
IGBGG21,SoCal Gas CG FDt Com
IGBBK21,FL Gas Zn3 FDt Com
IGBAO21,Texas Gas Zn 1 FDt Com
IGBAL21,NGPL Texok Zn FDt Com
IGBAZ21,NGPL S TX FDt Com
IGBEK21,TX Eastern M-3 FDt Com
IGBDO21,PG&E Malin FDt Com
IGBCK21,CIG Rocky Mtns FDt Com
IGBEL21,Transco Zn6 non-N.Y. FDt Com
IGBBC21,Transco Zn1 FDt Com
IGBBP21,Tenn LA 500 Leg FDt Com
IGBEM21,Transco Zn6 NY FDt Com
IGBBQ21,Tenn LA 800 Leg FDt Com
IGBGF21,Trunkline Zn 1A FDt Com
IGBEJ21,Iroquois Zn2 FDt Com
IGBBA21,Tenn Zn0 FDt Com
IGBBV21,Transco Zn3 FDt Com
IGBDJ21,Transco Zn4 FDt Com
IGBEB21,PG&E CG FDt Com
IGBCF21,Sth Star TxOkKs FDt Com
IGBBB21,TX Eastern S TX FDt Com
IGBBS21,TX Eastern E LA FDt Com
IGBRS21,Tennessee Zone 6 delivered South FDt Com
IGBRO21,REX Zone 3 delivered FDt Com
IGBBG21,Col Gulf LA FDt Com
IGBJE21,Texas Eastern zone M-2 receipts FDt Com
IGBCT21,NW Can Bd Sumas FDt Com
IGBCL21,Kern River Opal FDt Com
IGBDU21,Nrthrn Ventura FDt Com
IGBBH21,Col Gulf Mnline FDt Com
IGBEE21,Algonquin CG FDt Com
IGBCE21,Panhandle TX-OK FDt Com
IGBEN21,Transco Zn5 Dlv FDt Com
IGBCR21,Iroquois Recpts FDt Com
IGBBR21,TX Eastern W LA FDt Com
IGBRR21,Tennessee Zone 6 delivered North FDt Com
IGBYZ21,Transco Station 165 FDt Com
IGBJU21,Columbia Gas Appalachia (Non-IPP Pool) FDt Com
IGBCG21,El Paso Bondad FDt Com
IGBDR21,NGPL Amarillo Rcpt FDt Com
IGBDB21,Eastern Gas North FDt Com
IGBZZ21,PNGTS delivered FDt Com
IGBCY21,GTNW Kingsgate FDt Com
IGBDM21,PG&E South FDt Com
IGBCN21,MountainWest FDt Com
IGBCS21,Niagara FDt Com
IGBAF21,Carthage Hub FDt Com
IGBFX21,Chicago NIPSCO FDt Com
IGBDK21,Algonquin Rcpts FDt Com
IGBEX21,Chicago Nicor FDt Com
IGBDP21,Alliance Interstates FDt Com
JAAWL21,ICE Gillis Hub FDt Com
IGBED21,Florida CG FDt Com
IGBDD21,Leidy Hub FDt Com
IGBDQ21,ANR ML 7 FDt Com
JAAWM21,ICE HSC-Kinder Morgan FDt Com
IGBCM21,Stanfield OR FDt Com
IGBFJ21,Lebanon Hub-Ohio FDt Com
IGBCZ21,Westcoast Stn 2 FDt Com
IGBAE21,Transwestn Perm FDt Com
IGBRV21,Rover delivered FDt Com
IGBAV21,Agua Dulce Hub FDt Com
IGBDW21,Dracut MA FDt Com
IGBGX21,Chicago Peoples FDt Com
IGBCW21,Emerson Viking FDt Com
IGBFR21,El Paso S Mainline FDt Com
IGBAW21,FL Gas Zn1 FDt Com
IGBBT21,Texas Gas Zn SL FDt Com
IGBBJ21,FL Gas Zn2 FDt Com
IGBBW21,Trunkline W LA FDt Com
IGBBX21,Trunkline E LA FDt Com
IGBEI21,Tenn Zn6 Dlvd FDt Com
IGBBU21,Transco Zn2 FDt Com
IGBRW21,Northwest Rocky Mountain Pool FDt Com
IGBET21,TX Eastern M-1 24-in FDt Com
IGBGH21,No Border VentTP FDt Com
IGBCP21,NW WY Pool/Rky FDt Com
IGBRP21,Iroquois zone 1 (delivered excl. Waddington) FDt Com
IGBCU21,TC Alb AECO-C FDt Com
IGBCQ21,NW S of Grn Rvr FDt Com
IGBDI21,TX Eastern M-1 30-in (Kosi) FDt Com
IGBRQ21,Tennessee zone 5-200 leg delivered FDt Com
IGBGK21,Transwestern-SJ FDt Com
IGBAN21,TX Eastern E TX FDt Com
JAAXM21,ICE Tennessee zone 1 800 Leg Pool FDt Com
IGCHL21,Transco Zone 5 South FDt Com
IGCFL21,Tennessee Zone 4-313 Pool FDt Com
JADGZ21,ICE Midship receipts FDt Com
JABFW21,ICE MEP-Lamar FDt Com
JADSZ21,ICE Transco zone 6 non-NY South FDt Com
JADPZ21,ICE Tennessee zone 6 300 leg FDt Com
JACFZ21,ICE REX Cheyenne Comp Pool FDt Com
JAACW21,ICE Northern Natural Mid 13 - 16A Pool FDt Com
JAACX21,ICE Northern Natural Mid 1-7 Pool FDt Com
