ISO,Location,Date,Max LMP
CAISO,DLAP_SDGE-APND,03/22/2019,64.83569
CAISO,DLAP_VEA-APND,03/22/2019,61.59958
CAISO,TH_NP15_GEN-APND,03/22/2019,59.33494
CAISO,TH_SP15_GEN-APND,03/22/2019,61.46711
CAISO,TH_ZP26_GEN-APND,03/22/2019,61.29679
CAISO,DLAP_PGAE-APND,03/23/2019,63.77019
CAISO,DLAP_SCE-APND,03/23/2019,63.53422
CAISO,DLAP_SDGE-APND,03/23/2019,65.19241
CAISO,DLAP_VEA-APND,03/23/2019,61.90154
CAISO,TH_NP15_GEN-APND,03/23/2019,60.94489
CAISO,TH_SP15_GEN-APND,03/23/2019,61.70383
CAISO,TH_ZP26_GEN-APND,03/23/2019,61.46786
CAISO,DLAP_PGAE-APND,03/24/2019,53.47474
CAISO,DLAP_SCE-APND,03/24/2019,54.47082
CAISO,DLAP_SDGE-APND,03/24/2019,61.52318
CAISO,DLAP_VEA-APND,03/24/2019,53.25819
CAISO,TH_NP15_GEN-APND,03/24/2019,51.02241
CAISO,TH_SP15_GEN-APND,03/24/2019,53.02
CAISO,TH_ZP26_GEN-APND,03/24/2019,52.40286
CAISO,DLAP_PGAE-APND,03/25/2019,74.24769
CAISO,DLAP_SCE-APND,03/25/2019,75.03255
CAISO,DLAP_SDGE-APND,03/25/2019,75.94448
CAISO,DLAP_VEA-APND,03/25/2019,73.70202
CAISO,TH_NP15_GEN-APND,03/25/2019,70.41309
CAISO,TH_SP15_GEN-APND,03/25/2019,73.11898
CAISO,TH_ZP26_GEN-APND,03/25/2019,72.58827
CAISO,DLAP_PGAE-APND,03/26/2019,77.19747
CAISO,DLAP_SCE-APND,03/26/2019,77.86484
CAISO,DLAP_SDGE-APND,03/26/2019,78.50892
CAISO,DLAP_VEA-APND,03/26/2019,75.69977
CAISO,TH_NP15_GEN-APND,03/26/2019,73.43382
CAISO,TH_SP15_GEN-APND,03/26/2019,75.73857
CAISO,TH_ZP26_GEN-APND,03/26/2019,75.32728
CAISO,DLAP_PGAE-APND,03/27/2019,74.80884
CAISO,DLAP_SCE-APND,03/27/2019,74.68155
CAISO,DLAP_SDGE-APND,03/27/2019,76.33631
CAISO,DLAP_VEA-APND,03/27/2019,72.6524
CAISO,TH_NP15_GEN-APND,03/27/2019,71.45438
CAISO,TH_SP15_GEN-APND,03/27/2019,72.68984
CAISO,TH_ZP26_GEN-APND,03/27/2019,72.30048
CAISO,DLAP_PGAE-APND,03/28/2019,67.58846
CAISO,DLAP_SCE-APND,03/28/2019,67.82582
CAISO,DLAP_SDGE-APND,03/28/2019,69.08726
CAISO,DLAP_VEA-APND,03/28/2019,65.76412
CAISO,TH_NP15_GEN-APND,03/28/2019,64.52303
