Market Component,ICE Market,Daily Code,Monthly Basis,Fin Basis,Fin Basis Name,Balmo,REGION,Sub-Region,City Symbol,Platts Market,Platt Market w/ ICE in the name,PriceRegion,Platts Forward Settle,GasDaily
AB Pool (inter),AB Pool (inter),Z6T,Z6Y,,,,South Central,,,,,,,Waha
AB Pool (intra),AB Pool (intra),Z70,Z75,,,,South Central,,,,,,,Waha
AGT-CG,AGT-CG,YI0,YI5,ALQ,Algonquin,ALS,Northeast,,KJFK,,,,,
AGT-CG (non-G),AGT-CG (non-G),X7F,X88,ALQ,Algonquin,ALS,Northeast,,KJFK,Algonquin CG FDt Com,ICE Algonquin CG (Excl. J and G Lateral deliveries) FDt Com,Northeast - Demand,"Algonquin, city-gates",
Agua Dulce Hub,Agua Dulce Hub,YIC,YIE,,,,South Central,,,Agua Dulce Hub FDt Com,ICE Agua Blanca Pool FDt Com,,,HSC-HPL Pool
ANR-Joliet Hub,ANR-Joliet Hub,YIF,YIJ,DGD,Chicago,,Midwest,,KORD,,,,,Chicago
ANR-SE,ANR-SE,YIL,YIQ,CGM,ANR-SE,APS,South Central,,KMSY,,,,,
ANR-SE-T,ANR-SE-T,XTA,XTE,CGM,ANR-SE,APS,South Central,,KMSY,ANR LA FDt Com,ICE ANR SE Transmission Pool FDt Com,SouthCentral - Henry,"ANR, La",
ANR-SW,ANR-SW,XZL,XZP,ANO,ANR-SW,AOS,South Central,,KOKC,ANR OK FDt Com,,SouthCentral - Midcon,"ANR, Okla",
APC-ACE,APC-ACE,XW8,XX0,DGD,Chicago,,Midwest,,KORD,Alliance Interstates FDt Com,ICE Alliance Chicago Exchange Hub FDt Com,Midwest - Chicago,,Chicago
APC-ANR,APC-ANR,YIR,YIV,DGD,Chicago,,Midwest,,KORD,,,,,Chicago
APC-MGTC,APC-MGTC,YIX,YJ1,DGD,Chicago,,Midwest,,KORD,,,,,Chicago
APC-NGPL,APC-NGPL,YJ3,YJ7,DGD,Chicago,,Midwest,,KORD,,,,,Chicago
APC-Nicor,APC-Nicor,YJ9,YJD,DGD,Chicago,,Midwest,,KORD,,,,,Chicago
APC-VPC,APC-VPC,YJF,YJJ,DGD,Chicago,,Midwest,,KORD,,,,,Chicago
Arena WTX Pool,Arena WTX Pool,Z7O,Z7T,,,,South Central,,,,,,,Waha
Atmos Zone 3,Atmos Zone 3,YJL,YJQ,WAH,Waha,,South Central,,,,ICE Atmos zone 3 receipts FDt Com,,,NGPL-TXOK East
Banquete Hub,Banquete Hub,Z7U,Z7Z,,,,South Central,,,,,,,HSC-HPL Pool
Bay Gas Storage,Bay Gas Storage,X82,X83,,,,Southeast,Other,,,,,,FGT-Z3
Bennington,Bennington,YJR,YJW,,,,South Central,,KOKC,,,,,NGPL-TXOK East
Beverly Salem,Beverly Salem,YJX,YK2,TMT,TETCO-M3,,Northeast,,,,,,,TETCO-M3
Bluewater Hub,Bluewater Hub,YK3,YK8,NMC,Michcon,,Midwest,,KDTW,,,,,Michcon
Bobcat Inter,Bobcat Inter,YK9,YKB,,,,South Central,,,,,,,
Bobcat Stor,Bobcat Stor,YKC,YKE,,,,South Central,,,,,,,
Carthage,Carthage,YKF,YKK,HXS,HSC-HPL POOL,,South Central,,KMSY,Carthage Hub FDt Com,ICE Carthage Hub Tailgate FDt Com,SouthCentral - Perryville,,
CG-Mainline,CG-Mainline,XLA,XLE,CGB,CG-MAINLINE,CGR,South Central,,KMSY,Col Gulf Mnline FDt Com,,SouthCentral - Perryville,"Columbia Gulf, mainline",
CG-Onshore,CG-Onshore,XLG,XLK,CON,CG-ONSHORE,CVH,South Central,,KMSY,Col Gulf LA FDt Com,,SouthCentral - Henry,"Columbia Gulf, La",
Cheyenne,Cheyenne,XNS,XNX,CRI,CIG,CVQ,Rockies,Upper,KDEN,Cheyenne Hub FDt Com,,,Cheyenne Hub,
Chicago,,,,DGD,Chicago,CSS,Midwest,,KORD,Chicago CG FDt Com,,Midwest - Chicago,Chicago city-gates,
