City Symbol,City Title,Date,Min Temp,Max Temp,Avg Temp,CDD,HDD,10yr Min Temp,10yr Max Temp,10yr Avg Temp,10yr CDD,10yr HDD
KATL,Atlanta GA,2025-06-29,71.0,88.0,80.0,15.0,0.0,71.2,89.0,80.1,15.1,0.0
KATL,Atlanta GA,2025-06-30,71.0,90.0,80.0,15.0,0.0,72.3,90.0,81.15,16.15,0.0
KATL,Atlanta GA,2025-07-01,72.0,87.0,80.0,15.0,0.0,72.6,89.3,80.95,15.95,0.0
KATL,Atlanta GA,2025-07-02,71.0,89.0,80.0,15.0,0.0,72.6,89.9,81.25,16.25,0.0
KATL,Atlanta GA,2025-07-03,71.0,93.0,82.0,17.0,0.0,72.7,89.9,81.3,16.3,0.0
KATL,Atlanta GA,2025-07-04,72.0,93.0,82.0,18.0,0.0,72.6,91.6,82.1,17.1,0.0
KATL,Atlanta GA,2025-07-05,72.0,92.0,82.0,17.0,0.0,72.9,90.4,81.65,16.65,0.0
KATL,Atlanta GA,2025-07-06,72.0,92.0,82.0,17.0,0.0,72.9,90.0,81.45,16.45,0.0
KATL,Atlanta GA,2025-07-07,72.0,91.0,82.0,17.0,0.0,72.8,90.1,81.45,16.45,0.0
KATL,Atlanta GA,2025-07-08,74.0,93.0,83.0,18.0,0.0,73.4,90.1,81.75,16.75,0.0
KATL,Atlanta GA,2025-07-09,73.0,92.0,83.0,18.0,0.0,73.1,90.7,81.9,16.9,0.0
KATL,Atlanta GA,2025-07-10,73.0,90.0,82.0,17.0,0.0,72.1,90.4,81.25,16.25,0.0
KATL,Atlanta GA,2025-07-11,73.0,89.0,81.0,16.0,0.0,72.3,89.6,80.95,15.95,0.0
KATL,Atlanta GA,2025-07-12,73.0,92.0,82.0,18.0,0.0,72.6,90.6,81.6,16.6,0.0
KATL,Atlanta GA,2025-07-13,73.0,92.0,82.0,17.0,0.0,72.8,91.0,81.9,16.9,0.0
KBOS,Boston MA,2025-06-29,61.0,84.0,73.0,8.0,0.0,65.7,82.7,74.2,9.3,0.1
KBOS,Boston MA,2025-06-30,67.0,81.0,74.0,9.0,0.0,67.7,82.3,75.0,10.0,0.0
KBOS,Boston MA,2025-07-01,69.0,90.0,79.0,14.0,0.0,65.8,82.8,74.3,9.3,0.0
KBOS,Boston MA,2025-07-02,72.0,86.0,79.0,14.0,0.0,66.8,81.6,74.2,9.3,0.1
KBOS,Boston MA,2025-07-03,69.0,85.0,77.0,12.0,0.0,66.4,81.3,73.85,9.5,0.65
KBOS,Boston MA,2025-07-04,67.0,80.0,74.0,9.0,0.0,65.7,79.2,72.45,7.65,0.2
KBOS,Boston MA,2025-07-05,64.0,83.0,74.0,9.0,0.0,65.7,82.6,74.15,9.15,0.0
KBOS,Boston MA,2025-07-06,68.0,89.0,78.0,13.0,0.0,68.3,85.2,76.75,11.75,0.0
KBOS,Boston MA,2025-07-07,73.0,88.0,81.0,16.0,0.0,65.2,81.0,73.1,8.1,0.0
KBOS,Boston MA,2025-07-08,72.0,81.0,77.0,12.0,0.0,64.8,80.1,72.45,7.55,0.1
KBOS,Boston MA,2025-07-09,69.0,80.0,75.0,10.0,0.0,66.0,80.4,73.2,8.5,0.3
KBOS,Boston MA,2025-07-10,69.0,80.0,74.0,9.0,0.0,66.0,79.9,72.95,8.3,0.35
KBOS,Boston MA,2025-07-11,69.0,80.0,75.0,10.0,0.0,66.5,83.4,74.95,9.95,0.0
KBOS,Boston MA,2025-07-12,69.0,79.0,74.0,9.0,0.0,68.6,84.3,76.45,11.45,0.0
KBOS,Boston MA,2025-07-13,69.0,79.0,74.0,9.0,0.0,67.2,82.0,74.6,9.7,0.1
KBUF,Buffalo NY,2025-06-29,59.0,83.0,71.0,6.0,0.0,62.3,80.7,71.5,6.6,0.1
KBUF,Buffalo NY,2025-06-30,63.0,88.0,76.0,11.0,0.0,63.4,79.8,71.6,6.6,0.0
KBUF,Buffalo NY,2025-07-01,69.0,77.0,73.0,8.0,0.0,62.9,79.6,71.25,6.3,0.05
KBUF,Buffalo NY,2025-07-02,64.0,80.0,72.0,7.0,0.0,63.1,78.9,71.0,6.15,0.15
KBUF,Buffalo NY,2025-07-03,64.0,77.0,71.0,6.0,0.0,63.8,81.8,72.8,7.9,0.1
KBUF,Buffalo NY,2025-07-04,59.0,79.0,69.0,4.0,0.0,64.0,85.1,74.55,9.55,0.0
KBUF,Buffalo NY,2025-07-05,62.0,85.0,74.0,9.0,0.0,66.4,85.3,75.85,10.85,0.0
KBUF,Buffalo NY,2025-07-06,71.0,84.0,78.0,13.0,0.0,67.4,84.0,75.7,10.7,0.0
KBUF,Buffalo NY,2025-07-07,69.0,81.0,75.0,10.0,0.0,63.6,83.5,73.55,8.55,0.0
KBUF,Buffalo NY,2025-07-08,66.0,80.0,73.0,8.0,0.0,63.1,81.0,72.05,7.05,0.0
KBUF,Buffalo NY,2025-07-09,66.0,81.0,73.0,8.0,0.0,62.7,80.2,71.45,6.55,0.1
KBUF,Buffalo NY,2025-07-10,65.0,81.0,73.0,8.0,0.0,64.0,82.8,73.4,8.4,0.0
KBUF,Buffalo NY,2025-07-11,66.0,81.0,73.0,8.0,0.0,63.6,80.9,72.25,7.25,0.0
KBUF,Buffalo NY,2025-07-12,66.0,80.0,73.0,8.0,0.0,64.3,81.5,72.9,7.9,0.0
KBUF,Buffalo NY,2025-07-13,66.0,81.0,74.0,9.0,0.0,66.1,83.0,74.55,9.55,0.0
KDCA,Washington DC,2025-06-29,75.0,90.0,82.0,18.0,0.0,69.5,89.7,79.6,14.6,0.0
KDCA,Washington DC,2025-06-30,73.0,89.0,81.0,16.0,0.0,72.3,91.4,81.85,16.85,0.0
KDCA,Washington DC,2025-07-01,73.0,90.0,82.0,17.0,0.0,71.1,89.3,80.2,15.2,0.0
KDCA,Washington DC,2025-07-02,71.0,87.0,79.0,14.0,0.0,71.8,88.2,80.0,15.0,0.0
KDCA,Washington DC,2025-07-03,72.0,89.0,80.0,15.0,0.0,71.3,88.5,79.9,14.9,0.0
KDCA,Washington DC,2025-07-04,71.0,88.0,79.0,14.0,0.0,73.0,89.0,81.0,16.0,0.0
KDCA,Washington DC,2025-07-05,70.0,89.0,79.0,14.0,0.0,74.9,90.2,82.55,17.55,0.0
KDCA,Washington DC,2025-07-06,71.0,91.0,81.0,16.0,0.0,75.7,91.7,83.7,18.7,0.0
KDCA,Washington DC,2025-07-07,75.0,93.0,84.0,19.0,0.0,74.4,89.6,82.0,17.0,0.0
KDCA,Washington DC,2025-07-08,75.0,90.0,82.0,18.0,0.0,73.8,89.3,81.55,16.55,0.0
KDCA,Washington DC,2025-07-09,73.0,90.0,81.0,16.0,0.0,72.5,88.9,80.7,15.7,0.0
KDCA,Washington DC,2025-07-10,74.0,90.0,82.0,17.0,0.0,73.3,89.1,81.2,16.2,0.0
KDCA,Washington DC,2025-07-11,74.0,88.0,81.0,16.0,0.0,73.3,90.7,82.0,17.0,0.0
KDCA,Washington DC,2025-07-12,74.0,88.0,81.0,16.0,0.0,73.5,90.0,81.75,16.75,0.0
