City Title,State,EIA Region
Atlanta GA,GA,East Region
Boston MA,MA,East Region
Buffalo NY,NY,East Region
Chicago IL,IL,Midwest Region
Denver CO,CO,Mountain Region
Detroit MI,MI,Midwest Region
Houston TX,TX,South Central Region
John F. Kennedy NY,NY,East Region
Little Rock AR,AR,South Central Region
Los Angeles CA,CA,Pacific Region
New Orleans LA,LA,South Central Region
Oklahoma City OK,OK,South Central Region
Philadelphia PA,PA,East Region
Pittsburgh PA,PA,East Region
Raleigh/Durham NC,NC,East Region
San Francisco CA,CA,Pacific Region
Seattle WA,WA,Pacific Region
Tampa FL,FL,East Region
Washington National DC,DC,East Region
