date,max_lmp,location
2023-01-01,41.12,ARKANSAS.HUB
2023-01-02,41.2,ARKANSAS.HUB
2023-01-03,39.83,ARKANSAS.HUB
2023-01-04,40.45,ARKANSAS.HUB
2023-01-05,38.81,ARKANSAS.HUB
2023-01-06,43.21,ARKANSAS.HUB
2023-01-07,33.56,ARKANSAS.HUB
2023-01-08,30.84,ARKANSAS.HUB
2023-01-09,30.55,ARKANSAS.HUB
2023-01-10,34.6,ARKANSAS.HUB
2023-01-11,29.77,ARKANSAS.HUB
2023-01-12,28.53,ARKANSAS.HUB
2023-01-13,39.81,ARKANSAS.HUB
2023-01-14,42.0,ARKANSAS.HUB
2023-01-15,28.01,ARKANSAS.HUB
2023-01-16,32.45,ARKANSAS.HUB
2023-01-17,38.87,ARKANSAS.HUB
2023-01-18,36.12,ARKANSAS.HUB
2023-01-19,33.89,ARKANSAS.HUB
2023-01-20,36.38,ARKANSAS.HUB
2023-01-21,33.51,ARKANSAS.HUB
2023-01-22,33.67,ARKANSAS.HUB
2023-01-23,49.93,ARKANSAS.HUB
2023-01-24,42.32,ARKANSAS.HUB
2023-01-25,32.89,ARKANSAS.HUB
2023-01-26,37.07,ARKANSAS.HUB
2023-01-27,42.72,ARKANSAS.HUB
2023-01-28,27.21,ARKANSAS.HUB
2023-01-29,30.45,ARKANSAS.HUB
2023-01-30,34.24,ARKANSAS.HUB
2023-01-31,38.0,ARKANSAS.HUB
2023-02-01,41.87,ARKANSAS.HUB
2023-02-02,42.85,ARKANSAS.HUB
2023-02-03,42.81,ARKANSAS.HUB
2023-02-04,37.36,ARKANSAS.HUB
2023-02-05,25.07,ARKANSAS.HUB
2023-02-06,32.11,ARKANSAS.HUB
2023-02-07,27.91,ARKANSAS.HUB
2023-02-08,28.98,ARKANSAS.HUB
2023-02-09,29.08,ARKANSAS.HUB
2023-02-10,29.1,ARKANSAS.HUB
2023-02-11,30.87,ARKANSAS.HUB
2023-02-12,28.75,ARKANSAS.HUB
2023-02-13,43.68,ARKANSAS.HUB
2023-02-14,29.65,ARKANSAS.HUB
2023-02-15,27.55,ARKANSAS.HUB
2023-02-16,32.17,ARKANSAS.HUB
2023-02-17,41.69,ARKANSAS.HUB
2023-02-18,34.93,ARKANSAS.HUB
2023-02-19,26.44,ARKANSAS.HUB
2023-02-20,29.57,ARKANSAS.HUB
2023-02-21,28.24,ARKANSAS.HUB
2023-02-22,26.95,ARKANSAS.HUB
2023-02-23,27.19,ARKANSAS.HUB
2023-02-24,28.52,ARKANSAS.HUB
2023-02-25,29.98,ARKANSAS.HUB
2023-02-26,28.34,ARKANSAS.HUB
2023-02-27,32.79,ARKANSAS.HUB
2023-02-28,32.36,ARKANSAS.HUB
2023-03-01,30.97,ARKANSAS.HUB
2023-03-02,33.01,ARKANSAS.HUB
2023-03-03,32.88,ARKANSAS.HUB
2023-03-04,30.25,ARKANSAS.HUB
2023-03-05,31.21,ARKANSAS.HUB
2023-03-06,32.65,ARKANSAS.HUB
2023-03-07,34.56,ARKANSAS.HUB
2023-03-08,38.04,ARKANSAS.HUB
2023-03-09,38.91,ARKANSAS.HUB
2023-03-10,34.86,ARKANSAS.HUB
2023-03-11,37.03,ARKANSAS.HUB
2023-03-12,38.75,ARKANSAS.HUB
2023-03-13,35.56,ARKANSAS.HUB
2023-03-14,46.53,ARKANSAS.HUB
2023-03-15,46.57,ARKANSAS.HUB
2023-03-16,33.35,ARKANSAS.HUB
