Pipeline Name,Shipper Name,Expiration Date,Max Quantity,Receipt Points,Delivery Points
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",Shipper Name,Contract Primary Term Expiration Date,"For Transportation, Max Daily Quantity",[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","AGY HOLDING, CORP.",12/30/2008,341,"[('CAROLINA GAS', 341)]","[('STA 30 POOL ZN1', 58), ('STA 45 POOL ZN2', 85), ('STA 50 POOL ZN3', 65), ('STA 62 POOL ZN3', 133)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,09/30/2029,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,03/31/2020,6440,"[('ATLANTA GAS LIGHT', 6440)]","[('STA 30 POOL ZN1', 1095), ('STA 45 POOL ZN2', 1610), ('STA 50 POOL ZN3', 1223), ('STA 62 POOL ZN3', 2512)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,03/31/2027,111366,"[('STA 65 POOL ZN3', 1816), ('ATLANTA GAS LIGHT', 111366)]","[('STA 30 POOL ZN1', 18932), ('STA 45 POOL ZN2', 27841), ('STA 50 POOL ZN3', 21160), ('STA 62 POOL ZN3', 43433), ('WASHINGTON STG TRANS', 1816)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,10/31/2022,15525,"[('ATLANTA GAS LIGHT', 15525)]","[('HEIDELBERG', 2037), ('HOLMESVILLE', 13488)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,10/31/2024,4658,"[('STA 65 POOL ZN3', 1816), ('ATLANTA GAS LIGHT', 4658)]","[('STA 30 POOL ZN1', 791), ('STA 45 POOL ZN2', 1166), ('STA 50 POOL ZN3', 885), ('STA 62 POOL ZN3', 1816), ('WASHINGTON STG TRANS', 1816)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,10/31/2025,61160,"[('ATLANTA GAS LIGHT', 61160)]","[('STA 85 POOL ZN4', 61160)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,03/31/2020,20918,"[('STA 210 POOL ZN6', 20918)]","[('LEIDY-NATIONAL FUEL', 20918)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,10/31/2028,85000,"[('ATLANTA GAS LIGHT', 85000)]","[('STA 85 POOL ZN4', 85000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,10/31/2030,10350,"[('EAGLE POINT M6188', 10350)]","[('STA 30 POOL ZN1', 10350)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,07/31/2042,235000,"[('HOLMESVILLE', 235000)]","[('STA 210 POOL ZN6', 235000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,06/30/2026,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",ATLANTA GAS LIGHT COMPANY,03/31/2028,0,[],[]
