ticker,series_id,series_desc,metadata_desc,entity_name,cmdty_class,sub_cmdty_desc,asset_name,region_name,country_name,state_name,province_name,status,series_type,sub_region,table_name,mongo_id,metadata_uuid,entity_id
,,,Sales - Consumer,3M Company Old,,,,,,,,TRUE,,,,56a79bd8139288e6195ef784,526442e0-c448-11e5-bffb-8b919ff57770,558adff7c8dbd68523f2dcbb
,,,Sales - Electronics/Energy,3M Company Old,,,,,,,,TRUE,,,,56a79bd3139288e6195ef783,5b5dee00-c448-11e5-bffb-8b919ff57770,558adff7c8dbd68523f2dcbb
,,,Sales - Health Care,3M Company Old,,,,,,,,TRUE,,,,56a79bbc139288e6195ef780,63bf50c0-c448-11e5-bffb-8b919ff57770,558adff7c8dbd68523f2dcbb
,,,Sales - Industrial,3M Company Old,,,,,,,,TRUE,,,,56a79bcd139288e6195ef782,727bbef0-c448-11e5-bffb-8b919ff57770,558adff7c8dbd68523f2dcbb
,,,Sales - Safety and Graphics,3M Company Old,,,,,,,,TRUE,,,,56a79bc6139288e6195ef781,6c86c850-c448-11e5-bffb-8b919ff57770,558adff7c8dbd68523f2dcbb
,,,Sales - Total,3M Company Old,,,,,,,,TRUE,,,,56a79bdc139288e6195ef785,4a4cba60-c448-11e5-bffb-8b919ff57770,558adff7c8dbd68523f2dcbb
,,,Net Earnings,"Airgas, Inc.",Earnings,,,,,,,TRUE,,,,56a672d43eab55b56001d8c5,0ef337f0-c470-11e5-83e7-f92b4f7620c5,558ae003c8dbd68523f2dd6b
,,,Revenue - Gas and Rent,"Airgas, Inc.",Industrial Gases,,,,,,,TRUE,,,,56a7df06b5af51e32d8a8e8e,408334f0-c470-11e5-83e7-f92b4f7620c5,558ae003c8dbd68523f2dd6b
,,,Revenue - Hardgoods,"Airgas, Inc.",Industrial Gases,,,,,,,TRUE,,,,56a7df0bb5af51e32d8a8e8f,4ddc1b80-c470-11e5-83e7-f92b4f7620c5,558ae003c8dbd68523f2dd6b
,,,Sales - Total,"Airgas, Inc.",Industrial Gases,,,,,,,TRUE,,,,56a79bdc139288e6195ef785,23975650-c470-11e5-83e7-f92b4f7620c5,558ae003c8dbd68523f2dd6b
,,,Net Income,AK Steel Holding Corporation,,,,,,,,TRUE,,,,56a6876b3eab55b56001d8e3,9117f4a0-c3a3-11e5-8959-e78ebb865eba,558ae003c8dbd68523f2dd6f
,,,Net Sales,AK Steel Holding Corporation,,,,,,,,TRUE,,,,56a687713eab55b56001d8e4,850dae20-c3a3-11e5-8959-e78ebb865eba,558ae003c8dbd68523f2dd6f
,,,Price Per Ton,AK Steel Holding Corporation,,,,,,,,TRUE,,,,56a687663eab55b56001d8e2,9f5ee4b0-c3a3-11e5-8959-e78ebb865eba,558ae003c8dbd68523f2dd6f
,,,Shipments - Steel Products,AK Steel Holding Corporation,Metals and Minerals,Steel,,,,,,TRUE,,,,56a6874e3eab55b56001d8e1,b338d540-c3a3-11e5-8959-e78ebb865eba,558ae003c8dbd68523f2dd6f
CAER.NG.IMP.RAWGAS.A,aer_raw_gas_import,AER - Raw Gas Imports ,Imports,Alberta Energy Regulator,Natural Gas,,,Canada,Canada,,Alberta,TRUE,Actual,,,57805d864e720c152dcad5e1,eab0e430-48c2-11ed-805c-bb0831de4754,5ed1035f2bbd7973fa1b2bba
CAER.NG.DIS.ONTARIO.A,aer_disp_ON,AER - Disposition - Ontario,Natural Gas Demand,Alberta Energy Regulator,Natural Gas,,,Ontario,Canada,,Ontario,TRUE,Actual,,,5780edcb4e720c152dcad5e7,fb1c8800-48cd-11ed-805c-bb0831de4754,5ed1035f2bbd7973fa1b2bba
CAER.NG.INSU.VENT.A,aer_in_situ_use_vnt,AER - In Situ Use - Vent,Natural Gas Demand,Alberta Energy Regulator,Natural Gas,,,Canada,Canada,,Alberta,TRUE,Actual,,,5780edcb4e720c152dcad5e7,36ca4520-48cb-11ed-805c-bb0831de4754,5ed1035f2bbd7973fa1b2bba
CAER.NG.DIS.NWTYUK.A,aer_disp_NWT,AER - Disposition - NWT  Yukon  Nunavut,Natural Gas Demand,Alberta Energy Regulator,Natural Gas,,,,Canada,,Northwest Territories,TRUE,Actual,,,5780edcb4e720c152dcad5e7,0d7e6210-48cf-11ed-805c-bb0831de4754,5ed1035f2bbd7973fa1b2bba
CAER.NG.DIS.MNTOBA.A,aer_disp_MB,AER - Disposition - Manitoba,Natural Gas Demand,Alberta Energy Regulator,Natural Gas,,,Manitoba,Canada,,Manitoba,TRUE,Actual,,,5780edcb4e720c152dcad5e7,cb51baa0-48cd-11ed-805c-bb0831de4754,5ed1035f2bbd7973fa1b2bba
