City Symbol,City Title,Date,Min Temp,Max Temp,Avg Temp,CDD,HDD,10yr Min Temp,10yr Max Temp,10yr Avg Temp,10yr CDD,10yr HDD
KATL,Atlanta GA,2025-06-08,69.0,82.0,75.0,11.0,0.0,65.8,84.6,75.2,10.2,0.0
KATL,Atlanta GA,2025-06-09,69.0,82.0,75.0,10.0,0.0,68.1,86.7,77.4,12.4,0.0
KATL,Atlanta GA,2025-06-10,67.0,85.0,76.0,11.0,0.0,68.4,86.2,77.3,12.3,0.0
KATL,Atlanta GA,2025-06-11,65.0,88.0,76.0,12.0,0.0,69.0,87.3,78.15,13.15,0.0
KATL,Atlanta GA,2025-06-12,68.0,88.0,78.0,13.0,0.0,69.8,86.3,78.05,13.05,0.0
KATL,Atlanta GA,2025-06-13,70.0,86.0,78.0,13.0,0.0,70.1,88.2,79.15,14.15,0.0
KATL,Atlanta GA,2025-06-14,71.0,86.0,79.0,14.0,0.0,70.1,88.6,79.35,14.35,0.0
KATL,Atlanta GA,2025-06-15,72.0,87.0,79.0,14.0,0.0,70.3,89.7,80.0,15.0,0.0
KATL,Atlanta GA,2025-06-16,72.0,84.0,78.0,13.0,0.0,70.2,89.6,79.9,14.9,0.0
KATL,Atlanta GA,2025-06-17,71.0,85.0,78.0,13.0,0.0,70.6,90.1,80.35,15.35,0.0
KATL,Atlanta GA,2025-06-18,71.0,85.0,78.0,13.0,0.0,70.2,87.7,78.95,13.95,0.0
KATL,Atlanta GA,2025-06-19,72.0,88.0,80.0,15.0,0.0,70.3,86.5,78.4,13.4,0.0
KATL,Atlanta GA,2025-06-20,73.0,88.0,81.0,16.0,0.0,70.5,87.2,78.85,13.85,0.0
KATL,Atlanta GA,2025-06-21,72.0,87.0,80.0,15.0,0.0,70.4,88.4,79.4,14.4,0.0
KATL,Atlanta GA,2025-06-22,72.0,87.0,80.0,15.0,0.0,69.0,89.8,79.4,14.4,0.0
KBOS,Boston MA,2025-06-08,57.0,68.0,63.0,0.0,2.0,58.7,77.0,67.85,3.8,0.95
KBOS,Boston MA,2025-06-09,55.0,64.0,60.0,0.0,5.0,59.4,77.5,68.45,4.65,1.2
KBOS,Boston MA,2025-06-10,57.0,68.0,63.0,0.0,2.0,58.4,74.8,66.6,2.6,1.0
KBOS,Boston MA,2025-06-11,61.0,80.0,70.0,5.0,0.0,59.9,75.8,67.85,4.15,1.3
KBOS,Boston MA,2025-06-12,67.0,80.0,74.0,9.0,0.0,59.9,79.7,69.8,5.35,0.55
KBOS,Boston MA,2025-06-13,63.0,73.0,68.0,3.0,0.0,60.7,78.3,69.5,5.65,1.15
KBOS,Boston MA,2025-06-14,59.0,67.0,63.0,0.0,2.0,58.9,76.5,67.7,3.25,0.55
KBOS,Boston MA,2025-06-15,56.0,63.0,60.0,0.0,5.0,59.1,73.7,66.4,3.15,1.75
KBOS,Boston MA,2025-06-16,56.0,68.0,62.0,0.0,3.0,59.2,74.2,66.7,2.55,0.85
KBOS,Boston MA,2025-06-17,57.0,72.0,65.0,0.0,0.0,60.7,75.5,68.1,3.55,0.45
KBOS,Boston MA,2025-06-18,60.0,75.0,67.0,2.0,0.0,61.5,79.6,70.55,5.85,0.3
KBOS,Boston MA,2025-06-19,63.0,77.0,70.0,5.0,0.0,63.4,81.2,72.3,8.45,1.15
KBOS,Boston MA,2025-06-20,64.0,77.0,70.0,5.0,0.0,62.8,82.3,72.55,8.0,0.45
KBOS,Boston MA,2025-06-21,64.0,75.0,69.0,4.0,0.0,62.5,79.6,71.05,6.7,0.65
KBOS,Boston MA,2025-06-22,63.0,73.0,68.0,3.0,0.0,61.7,75.2,68.45,4.05,0.6
