period,area-name,series-description,value,units
2025-03,USA-OK,Oklahoma Working Natural Gas Underground Storage Capacity (MMcf),203921,MMCF
2025-03,USA-WY,Wyoming Working Natural Gas Underground Storage Capacity (MMcf),90297,MMCF
2025-03,USA-NM,New Mexico Working Natural Gas Underground Storage Capacity (MMcf),59738,MMCF
2025-03,USA-IL,Illinois Working Natural Gas Underground Storage Capacity (MMcf),303813,MMCF
2025-03,USA-MS,Mississippi Working Natural Gas Underground Storage Capacity (MMcf),200831,MMCF
2025-03,USA-TN,Tennessee Working Natural Gas Underground Storage Capacity (MMcf),1800,MMCF
2025-03,USA-WV,West Virginia Working Natural Gas Underground Storage Capacity (MMcf),264555,MMCF
2025-03,USA-VA,Virginia Working Natural Gas Underground Storage Capacity (MMcf),4930,MMCF
2025-03,USA-MI,Michigan Working Natural Gas Underground Storage Capacity (MMcf),688390,MMCF
2025-03,USA-AR,Arkansas Working Natural Gas Underground Storage Capacity (MMcf),8894,MMCF
2025-03,NA,Mountain Region Natural Gas Working Underground Storage Capacity (MMcf),495916,MMCF
2025-03,NA,East Region Natural Gas Working Underground Storage Capacity (MMcf),1079060,MMCF
2025-03,TEXAS,Texas Working Natural Gas Underground Storage Capacity (MMcf),571072,MMCF
2025-03,USA-KY,Kentucky Working Natural Gas Underground Storage Capacity (MMcf),108131,MMCF
2025-03,USA-IN,Indiana Working Natural Gas Underground Storage Capacity (MMcf),32285,MMCF
2025-03,NA,South Central Region Natural Gas Working Underground Storage Capacity (MMcf),1584178,MMCF
2025-03,USA-IA,Iowa Working Natural Gas Underground Storage Capacity (MMcf),90313,MMCF
2025-03,CALIFORNIA,California Working Natural Gas Underground Storage Capacity (MMcf),323068,MMCF
2025-03,USA-PA,Pennsylvania Working Natural Gas Underground Storage Capacity (MMcf),426326,MMCF
2025-03,MINNESOTA,Minnesota Working Natural Gas Underground Storage Capacity (MMcf),2000,MMCF
2025-03,USA-UT,Utah Working Natural Gas Underground Storage Capacity (MMcf),62792,MMCF
2025-03,WASHINGTON,Washington Working Natural Gas Underground Storage Capacity (MMcf),24600,MMCF
2025-03,USA-MT,Montana Working Natural Gas Underground Storage Capacity (MMcf),197477,MMCF
2025-03,USA-MD,Maryland Working Natural Gas Underground Storage Capacity (MMcf),18300,MMCF
2025-03,USA-OR,Oregon Working Natural Gas Underground Storage Capacity (MMcf),21550,MMCF
2025-03,USA-KS,Kansas Working Natural Gas Underground Storage Capacity (MMcf),122982,MMCF
2025-03,USA-AL,Alabama Working Natural Gas Underground Storage Capacity (MMcf),33150,MMCF
2025-03,NA,Midwest Region Natural Gas Working Underground Storage Capacity (MMcf),1230388,MMCF
2025-03,U.S.,U.S. Working Natural Gas Total Underground Storage Capacity (MMcf),4828664,MMCF
2025-03,USA-MO,Missouri Working Natural Gas Underground Storage Capacity (MMcf),3656,MMCF
2025-03,NEW YORK,New York Working Natural Gas Underground Storage Capacity (MMcf),125198,MMCF
2025-03,COLORADO,Colorado Working Natural Gas Underground Storage Capacity (MMcf),72959,MMCF
2025-03,OHIO,Ohio Working Natural Gas Underground Storage Capacity (MMcf),239752,MMCF
2025-03,USA-LA,Louisiana Working Natural Gas Underground Storage Capacity (MMcf),443328,MMCF
2025-03,USA-AK,Alaska Working Natural Gas Underground Storage Capacity (MMcf),69905,MMCF
2025-03,NA,Lower 48 States Working Natural Gas Total Underground Storage Capacity (MMcf),4758759,MMCF
2025-03,USA-NE,Nebraska Working Natural Gas Underground Storage Capacity (MMcf),12653,MMCF
2025-03,NA,Pacific Region Natural Gas Working Underground Storage Capacity (MMcf),369218,MMCF
2025-02,NA,Midwest Region Natural Gas Working Underground Storage Capacity (MMcf),1230388,MMCF
2025-02,MINNESOTA,Minnesota Working Natural Gas Underground Storage Capacity (MMcf),2000,MMCF
2025-02,USA-MT,Montana Working Natural Gas Underground Storage Capacity (MMcf),197477,MMCF
2025-02,NEW YORK,New York Working Natural Gas Underground Storage Capacity (MMcf),125198,MMCF
2025-02,U.S.,U.S. Working Natural Gas Total Underground Storage Capacity (MMcf),4830377,MMCF
2025-02,USA-KY,Kentucky Working Natural Gas Underground Storage Capacity (MMcf),108131,MMCF
2025-02,USA-MS,Mississippi Working Natural Gas Underground Storage Capacity (MMcf),200857,MMCF
2025-02,TEXAS,Texas Working Natural Gas Underground Storage Capacity (MMcf),571072,MMCF
2025-02,COLORADO,Colorado Working Natural Gas Underground Storage Capacity (MMcf),72959,MMCF
2025-02,NA,Pacific Region Natural Gas Working Underground Storage Capacity (MMcf),369218,MMCF
2025-02,NA,Mountain Region Natural Gas Working Underground Storage Capacity (MMcf),495916,MMCF
2025-02,CALIFORNIA,California Working Natural Gas Underground Storage Capacity (MMcf),323068,MMCF
2025-02,USA-WV,West Virginia Working Natural Gas Underground Storage Capacity (MMcf),265400,MMCF
2025-02,USA-IN,Indiana Working Natural Gas Underground Storage Capacity (MMcf),32285,MMCF
2025-02,USA-MI,Michigan Working Natural Gas Underground Storage Capacity (MMcf),688390,MMCF
2025-02,USA-TN,Tennessee Working Natural Gas Underground Storage Capacity (MMcf),1800,MMCF
2025-02,USA-WY,Wyoming Working Natural Gas Underground Storage Capacity (MMcf),90297,MMCF
2025-02,USA-AL,Alabama Working Natural Gas Underground Storage Capacity (MMcf),33150,MMCF
2025-02,USA-NM,New Mexico Working Natural Gas Underground Storage Capacity (MMcf),59738,MMCF
2025-02,USA-IL,Illinois Working Natural Gas Underground Storage Capacity (MMcf),303813,MMCF
2025-02,USA-LA,Louisiana Working Natural Gas Underground Storage Capacity (MMcf),443328,MMCF
2025-02,USA-VA,Virginia Working Natural Gas Underground Storage Capacity (MMcf),4930,MMCF
2025-02,USA-PA,Pennsylvania Working Natural Gas Underground Storage Capacity (MMcf),426326,MMCF
2025-02,NA,East Region Natural Gas Working Underground Storage Capacity (MMcf),1080747,MMCF
2025-02,NA,South Central Region Natural Gas Working Underground Storage Capacity (MMcf),1584204,MMCF
2025-02,USA-AK,Alaska Working Natural Gas Underground Storage Capacity (MMcf),69905,MMCF
2025-02,USA-IA,Iowa Working Natural Gas Underground Storage Capacity (MMcf),90313,MMCF
2025-02,USA-NE,Nebraska Working Natural Gas Underground Storage Capacity (MMcf),12653,MMCF
2025-02,USA-KS,Kansas Working Natural Gas Underground Storage Capacity (MMcf),122982,MMCF
2025-02,USA-UT,Utah Working Natural Gas Underground Storage Capacity (MMcf),62792,MMCF
2025-02,USA-MO,Missouri Working Natural Gas Underground Storage Capacity (MMcf),3656,MMCF
2025-02,WASHINGTON,Washington Working Natural Gas Underground Storage Capacity (MMcf),24600,MMCF
2025-02,USA-MD,Maryland Working Natural Gas Underground Storage Capacity (MMcf),18300,MMCF
2025-02,NA,Lower 48 States Working Natural Gas Total Underground Storage Capacity (MMcf),4760472,MMCF
2025-02,USA-OR,Oregon Working Natural Gas Underground Storage Capacity (MMcf),21550,MMCF
2025-02,USA-OK,Oklahoma Working Natural Gas Underground Storage Capacity (MMcf),203921,MMCF
2025-02,OHIO,Ohio Working Natural Gas Underground Storage Capacity (MMcf),240594,MMCF
2025-02,USA-AR,Arkansas Working Natural Gas Underground Storage Capacity (MMcf),8894,MMCF
2025-01,USA-KY,Kentucky Working Natural Gas Underground Storage Capacity (MMcf),108131,MMCF
2025-01,U.S.,U.S. Working Natural Gas Total Underground Storage Capacity (MMcf),4814403,MMCF
2025-01,MINNESOTA,Minnesota Working Natural Gas Underground Storage Capacity (MMcf),2000,MMCF
2025-01,WASHINGTON,Washington Working Natural Gas Underground Storage Capacity (MMcf),24600,MMCF
2025-01,USA-TN,Tennessee Working Natural Gas Underground Storage Capacity (MMcf),1800,MMCF
2025-01,USA-AL,Alabama Working Natural Gas Underground Storage Capacity (MMcf),33150,MMCF
2025-01,USA-IN,Indiana Working Natural Gas Underground Storage Capacity (MMcf),32285,MMCF
2025-01,NEW YORK,New York Working Natural Gas Underground Storage Capacity (MMcf),125198,MMCF
2025-01,USA-AK,Alaska Working Natural Gas Underground Storage Capacity (MMcf),69905,MMCF
2025-01,TEXAS,Texas Working Natural Gas Underground Storage Capacity (MMcf),571072,MMCF
2025-01,NA,Lower 48 States Working Natural Gas Total Underground Storage Capacity (MMcf),4744499,MMCF
2025-01,USA-NE,Nebraska Working Natural Gas Underground Storage Capacity (MMcf),12653,MMCF
2025-01,USA-MI,Michigan Working Natural Gas Underground Storage Capacity (MMcf),688390,MMCF
2025-01,USA-IL,Illinois Working Natural Gas Underground Storage Capacity (MMcf),303813,MMCF
2025-01,NA,East Region Natural Gas Working Underground Storage Capacity (MMcf),1080750,MMCF
2025-01,USA-OK,Oklahoma Working Natural Gas Underground Storage Capacity (MMcf),203921,MMCF
2025-01,USA-WY,Wyoming Working Natural Gas Underground Storage Capacity (MMcf),74297,MMCF
2025-01,USA-KS,Kansas Working Natural Gas Underground Storage Capacity (MMcf),122982,MMCF
2025-01,COLORADO,Colorado Working Natural Gas Underground Storage Capacity (MMcf),72959,MMCF
2025-01,USA-MO,Missouri Working Natural Gas Underground Storage Capacity (MMcf),3656,MMCF
2025-01,NA,Mountain Region Natural Gas Working Underground Storage Capacity (MMcf),479916,MMCF
2025-01,NA,South Central Region Natural Gas Working Underground Storage Capacity (MMcf),1584227,MMCF
2025-01,USA-WV,West Virginia Working Natural Gas Underground Storage Capacity (MMcf),265403,MMCF
2025-01,USA-VA,Virginia Working Natural Gas Underground Storage Capacity (MMcf),4930,MMCF
